Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2012, тыс. рублей	Январь, 2012, тыс. рублей	Изменение, тыс. рублей	Изменение, %
51	3	РосЕвроБанк	3137	Москва и обл.	105378238	94522593	10855645	11.48
52	-6	МСП Банк	3340	Москва и обл.	103690226	102490168	1200058	1.17
53	-1	Инвестторгбанк	2763	Москва и обл.	102878954	95596617	7282337	7.62
54	7	Татфондбанк	3058	Татарстан	100925143	82659350	18265793	22.1
55	4	Авангард	2879	Москва и обл.	100677482	84061159	16616323	19.77
56	-6	Росгосстрах Банк	3073	Москва и обл.	99602987	98150815	1452172	1.48
57	19	Совкомбанк	963	Костромская обл.	95823079	59334007	36489072	61.5
58	20	Эйч-Эс-Би-Си Банк (HSBC)	3290	Москва и обл.	95580181	57902951	37677230	65.07
59	10	Российский Капитал	2312	Москва и обл.	94762458	67180965	27581493	41.06
60	12	Ренессанс Кредит	3354	Москва и обл.	92112096	63998407	28113689	43.93
61	-13	БНП Париба Банк	3407	Москва и обл.	91187564	101447382	-10259818	-10.11
62	-6	Юниаструм Банк	2771	Москва и обл.	90323866	90804451	-480585	-0.53
63	0	КИТ Финанс Инвестиционный Банк	1911	Санкт-Петербург и обл.	89445521	78911663	10533858	13.35
64	11	Азиатско-Тихоокеанский Банк	1810	Амурская обл.	88158945	59498888	28660057	48.17
65	-10	Банк Интеза	2216	Москва и обл.	85341980	93076210	-7734230	-8.31
66	7	Пересвет	2110	Москва и обл.	82918004	63893822	19024182	29.77
67	-7	Балтийский Банк	128	Москва и обл.	82897560	82971654	-74094	-0.09
68	-10	Союз	2307	Москва и обл.	79725011	86098422	-6373411	-7.4
69	-5	Запсибкомбанк	918	Тюменская обл.	78250348	78772349	-522001	-0.66
70	1	ДельтаКредит	3338	Москва и обл.	75515013	65322035	10192978	15.6
71	52	Банк Кредит Свисс	2494	Москва и обл.	73845420	27155356	46690064	171.94
72	-7	Собинбанк	1317	Москва и обл.	72898793	74273913	-1375120	-1.85
73	-6	Еврофинанс Моснарбанк	2402	Москва и обл.	72546089	69322020	3224069	4.65
74	19	Связной Банк	1961	Москва и обл.	72333021	40155995	32177026	80.13
75	-13	Мастер-Банк	2176	Москва и обл.	71803891	79086982	-7283091	-9.21
76	-10	Всероссийский Банк Развития Регионов	3287	Москва и обл.	70962449	73099945	-2137496	-2.92
77	30	Тинькофф Банк	2673	Москва и обл.	68425950	31438653	36987297	117.65
78	-4	Локо-Банк	2707	Москва и обл.	68159593	61765101	6394492	10.35
79	-9	ЦентроКредит	121	Москва и обл.	65649436	66247394	-597958	-0.9
80	-12	Фондсервисбанк	2989	Москва и обл.	63782329	68518768	-4736439	-6.91
81	-2	Центр-инвест	2225	Ростовская обл.	63551806	57703978	5847828	10.13
82	-5	Балтинвестбанк	3176	Санкт-Петербург и обл.	60534116	59136579	1397537	2.36
83	-1	Креди Агриколь КИБ	1680	Санкт-Петербург и обл.	59312960	54367850	4945110	9.1
84	-3	Королевский Банк Шотландии	2594	Москва и обл.	57605506	57318278	287228	0.5
85	10	Первобанк	3461	Самарская обл.	57114475	38907455	18207020	46.8
86	-1	Нота-Банк	2913	Москва и обл.	54662342	52378243	2284099	4.36
87	-7	Международный Банк Санкт-Петербурга (МБСП)	197	Санкт-Петербург и обл.	54397455	57425415	-3027960	-5.27
88	-4	Металлинвестбанк	2440	Москва и обл.	54394977	53763169	631808	1.18
89	0	Инвестбанк	107	Москва и обл.	53939100	43549769	10389331	23.86
90	2	Сургутнефтегазбанк	588	Тюменская обл.	51889916	40293494	11596422	28.78
91	-8	Меткомбанк (Каменск-Уральский)	2443	Свердловская обл.	51549244	54312894	-2763650	-5.09
92	-1	Международный Финансовый Клуб	2618	Москва и обл.	50530568	42123214	8407354	19.96
93	-3	Национальный Стандарт	3421	Москва и обл.	50079190	42402748	7676442	18.1
94	-6	СБ Банк (Судостроительный банк)	2999	Москва и обл.	49875030	46021152	3853878	8.37
95	-1	Бинбанк кредитные карты	2827	Москва и обл.	48821228	39706703	9114525	22.95
96	15	Банк БФА	3038	Санкт-Петербург и обл.	47917718	30637176	17280542	56.4
97	2	Таврический	2304	Санкт-Петербург и обл.	45865357	35653575	10211782	28.64
98	19	Московский Областной Банк	1751	Москва и обл.	41894321	28641189	13253132	46.27
99	34	Тойота Банк	3470	Москва и обл.	41201591	24353492	16848099	69.18
100	4	Экспресс-Волга	3085	Саратовская обл.	41177480	33005111	8172369	24.76
101	0	Интеркоммерц Банк	1657	Москва и обл.	40318588	34241640	6076948	17.75
102	0	Кубань Кредит	2518	Краснодарский край	38670814	33295776	5375038	16.14
103	9	Народный Кредит	2401	Москва и обл.	36106872	29209855	6897017	23.61
104	-17	Национальный Резервный Банк	2170	Москва и обл.	34859147	47375747	-12516600	-26.42
105	0	Челябинвестбанк	493	Челябинская обл.	34681591	32115876	2565715	7.99
106	2	Челиндбанк	485	Челябинская обл.	33801001	31097842	2703159	8.69
107	20	Меткомбанк (Череповец)	901	Вологодская обл.	33346959	25621418	7725541	30.15
108	6	Межтопэнергобанк	2956	Москва и обл.	33281893	29138158	4143735	14.22
109	19	Примсоцбанк	2733	Приморский край	33278390	25618198	7660192	29.9
110	3	Кедр	1574	Москва и обл.	32350204	29200657	3149547	10.79
111	24	Кольцо Урала	65	Свердловская обл.	32221046	23919251	8301795	34.71
112	-12	Дальневосточный Банк	843	Приморский край	32165930	34387947	-2222017	-6.46
113	13	Русский Международный Банк	3123	Москва и обл.	32010093	25822380	6187713	23.96
114	2	Саровбизнесбанк	2048	Нижегородская обл.	31674097	28673192	3000905	10.47
115	-5	СДМ-Банк	1637	Москва и обл.	31418967	31067370	351597	1.13
116	8	Фора-Банк	1885	Москва и обл.	31300708	27133018	4167690	15.36
117	17	Смоленский Банк	2029	Смоленская обл.	30812600	24204116	6608484	27.3
118	7	Банк СГБ	2816	Вологодская обл.	30622150	26868619	3753531	13.97
119	-21	Стройкредит	18	Москва и обл.	30560099	36104781	-5544682	-15.36
120	-17	НС Банк	3124	Москва и обл.	30245231	33135989	-2890758	-8.72
121	0	Крайинвестбанк	3360	Краснодарский край	30204341	28053496	2150845	7.67
122	-2	Интерпромбанк	3266	Москва и обл.	30180180	28413884	1766296	6.22
123	-14	Современный Коммерческий Банк (бывш. ДжиИ Мани Банк)	3316	Москва и обл.	29745707	31080804	-1335097	-4.3
124	-2	Первый Республиканский Банк	1730	Москва и обл.	29612199	27311607	2300592	8.42
125	17	Пушкино	391	Москва и обл.	29096879	22027869	7069010	32.09
126	-8	Газбанк	2316	Самарская обл.	29080392	28594216	486176	1.7
127	23	Левобережный	1343	Новосибирская обл.	28962705	19996155	8966550	44.84
128	-31	Коммерцбанк (Евразия)	3333	Москва и обл.	28406135	37269821	-8863686	-23.78
129	11	М2М Прайвет Банк	1414	Москва и обл.	28088348	22292903	5795445	26
130	102	Сетелем Банк	2168	Москва и обл.	27937168	10796235	17140933	158.77
131	17	Натиксис Банк	3390	Москва и обл.	27557534	20346693	7210841	35.44
132	9	Мой Банк	2939	Москва и обл.	27425182	22228292	5196890	23.38
133	13	Росэнергобанк	2211	Москва и обл.	27367796	21516773	5851023	27.19
134	-4	Банк АВБ	23	Самарская обл.	27247096	25220454	2026642	8.04
135	3	АМБ Банк	3036	Москва и обл.	27160746	23105960	4054786	17.55
136	30	Экспобанк	2998	Москва и обл.	26783836	17075539	9708297	56.85
137	2	Банк «МБА-Москва»	3395	Москва и обл.	26372925	22658270	3714655	16.39
138	-2	БФГ-Кредит	3068	Москва и обл.	26021159	23669476	2351683	9.94
139	4	Агропромкредит	2880	Москва и обл.	25703217	21676688	4026529	18.58
140	-8	Липецккомбанк	1242	Липецкая обл.	25237631	24362595	875036	3.59
141	10	ГПБ-Ипотека	2403	Москва и обл.	24529972	19936859	4593113	23.04
142	26	Интерпрогрессбанк	600	Москва и обл.	24260906	16633902	7627004	45.85
143	65	Российский Кредит	324	Москва и обл.	24248967	12508206	11740761	93.86
144	-7	Акибанк	2587	Татарстан	24207391	23630833	576558	2.44
145	-1	Девон-Кредит	1972	Татарстан	24042000	21628812	2413188	11.16
146	57	Рост	2589	Москва и обл.	23958605	12697460	11261145	88.69
147	-16	Москоммерцбанк	3365	Москва и обл.	23628586	24737578	-1108992	-4.48
148	-19	Приморье	3001	Приморский край	23531891	25498066	-1966175	-7.71
149	0	Банк Проектного Финансирования	1677	Москва и обл.	23320233	20104855	3215378	15.99
150	-5	Альта-Банк	2269	Москва и обл.	22828652	21551007	1277645	5.93
151	11	БыстроБанк	1745	Удмуртия	22822463	17614334	5208129	29.57
152	27	Мир Бизнес Банк	3396	Москва и обл.	22702493	15092189	7610304	50.43
153	11	БМВ Банк	3482	Москва и обл.	22530297	17515839	5014458	28.63
154	67	Аверс	415	Татарстан	21884358	11783380	10100978	85.72
155	-8	Кредит Урал Банк	2584	Челябинская обл.	21790320	20966287	824033	3.93
156	-50	Сведбанк	3064	Москва и обл.	21695933	31711320	-10015387	-31.58
157	45	Советский	558	Санкт-Петербург и обл.	21627840	12785939	8841901	69.15
158	109	РосинтерБанк	226	Москва и обл.	21548807	8599507	12949300	150.58
159	-1	Образование	1521	Москва и обл.	21536447	18539978	2996469	16.16
160	-8	ФИА-Банк	2542	Самарская обл.	21475961	19761044	1714917	8.68
161	-8	Солидарность (Самара)	554	Самарская обл.	21364806	19655915	1708891	8.69
162	-5	Региональный Кредит	1927	Костромская обл.	21206711	18682523	2524188	13.51
163	8	Сумитомо Мицуи	3494	Москва и обл.	20787240	16504036	4283204	25.95
164	-3	Русстройбанк	3205	Москва и обл.	20751241	17694212	3057029	17.28
165	24	Мосстройэкономбанк (М Банк)	948	Москва и обл.	20739833	13943693	6796140	48.74
166	-11	С банк	2581	Москва и обл.	20697144	18732824	1964320	10.49
167	-13	Тимер Банк	1581	Татарстан	20331300	18795052	1536248	8.17
168	38	Огни Москвы	2328	Москва и обл.	20275514	12537099	7738415	61.72
169	-13	Уральский Финансовый Дом	249	Пермская обл.	20268282	18683393	1584889	8.48
170	-5	Первый Чешско-Российский Банк	3291	Москва и обл.	20185213	17205939	2979274	17.32
171	-8	Спурт Банк	2207	Татарстан	19999865	17612918	2386947	13.55
172	1	Европейский Трастовый Банк	2968	Москва и обл.	19814043	15615039	4199004	26.89
173	187	Фольксваген Банк Рус	3500	Москва и обл.	19097022	4988344	14108678	282.83
174	9	ББР Банк	2929	Москва и обл.	18685752	14747189	3938563	26.71
175	-3	Банк РСБ 24 (Русславбанк)	1073	Москва и обл.	18651888	16070478	2581410	16.06
176	39	Пойдем!	2534	Москва и обл.	18428874	12040286	6388588	53.06
177	-17	НОМОС-Региобанк	539	Хабаровский край	18216546	17801975	414571	2.33
178	-8	Морской Банк	77	Москва и обл.	17851798	16526233	1325565	8.02
179	49	Финпромбанк (ФПБ Банк)	2157	Москва и обл.	17578387	10975690	6602697	60.16
180	44	МАСТ-Банк	3267	Москва и обл.	17307746	11519119	5788627	50.25
181	-14	Энергобанк	67	Татарстан	17279069	16681880	597189	3.58
182	-23	Уралтрансбанк	812	Свердловская обл.	17238246	17888458	-650212	-3.63
183	-2	Легион	3117	Москва и обл.	17185161	14841685	2343476	15.79
184	14	Рост Банк	2888	Татарстан	17057609	13275779	3781830	28.49
185	-7	Инвесткапиталбанк	2377	Башкортостан	16772188	15246995	1525193	10
186	2	Интехбанк	2705	Татарстан	16419668	14006552	2413116	17.23
187	43	Мерседес-Бенц Банк Рус	3473	Москва и обл.	16333176	10936930	5396246	49.34
188	9	БКС — Инвестиционный Банк	101	Новосибирская обл.	16146457	13334445	2812012	21.09
189	7	Фининвест	671	Москва и обл.	16071216	13372645	2698571	20.18
190	-10	Развитие-Столица	3013	Москва и обл.	16061084	14898447	1162637	7.8
191	-1	Алмазэргиэнбанк	2602	Саха (Якутия)	16019734	13929814	2089920	15
192	34	Форштадт	2208	Оренбургская обл.	16015705	11224676	4791029	42.68
193	48	Плюс Банк	1189	Омская обл.	15973762	9914614	6059148	61.11
194	-18	НБД-Банк	1966	Нижегородская обл.	15782067	15314378	467689	3.05
195	16	Первомайский	518	Краснодарский край	15590778	12220472	3370306	27.58
196	-19	Курскпромбанк	735	Курская обл.	15506915	15266060	240855	1.58
197	-28	Петербургский Социальный Коммерческий Банк	2551	Санкт-Петербург и обл.	15466220	16566895	-1100675	-6.64
198	21	Тольяттихимбанк	2507	Самарская обл.	15352762	11815219	3537543	29.94
199	18	Газэнергобанк	3252	Калужская обл.	15314952	11921006	3393946	28.47
200	-9	Эллипс Банк	1950	Нижегородская обл.	15256305	13895702	1360603	9.79
201	-17	Ланта-Банк	1920	Москва и обл.	15244349	14516652	727697	5.01
202	-28	Норвик Банк	902	Кировская обл.	15241072	15489811	-248739	-1.61
203	-11	Новокузнецкий Муниципальный Банк	2865	Кемеровская обл.	15114218	13832391	1281827	9.27
204	1	Энергомашбанк	52	Санкт-Петербург и обл.	15080938	12580153	2500785	19.88
205	17	Банк ПСА Финанс Рус	3481	Москва и обл.	14897106	11644179	3252927	27.94
206	-7	Энерготрансбанк	1307	Калининградская обл.	14557309	13195400	1361909	10.32
207	-25	Александровский	53	Санкт-Петербург и обл.	14441113	14771737	-330624	-2.24
208	-4	Гаранти Банк — Москва	3275	Москва и обл.	14272346	12592360	1679986	13.34
209	20	Балтика	967	Санкт-Петербург и обл.	14272123	10956085	3316038	30.27
210	-35	Гута-Банк	256	Москва и обл.	14238546	15376840	-1138294	-7.4
211	-10	ВУЗ-Банк	1557	Свердловская обл.	14197275	12871987	1325288	10.3
212	-17	Западный	2598	Москва и обл.	14192589	13512541	680048	5.03
213	-20	Центркомбанк	2983	Москва и обл.	14051006	13786729	264277	1.92
214	37	АктивКапитал Банк	3006	Самарская обл.	13886022	9521784	4364238	45.83
215	27	ЯР-Банк	3185	Москва и обл.	13669767	9909842	3759925	37.94
216	-9	Держава	2738	Москва и обл.	13562359	12523896	1038463	8.29
217	-7	АйМаниБанк	1975	Республика Алтай	13552823	12368141	1184682	9.58
218	-6	Алеф-Банк	2119	Москва и обл.	13423878	12206689	1217189	9.97
219	119	Военно-Промышленный Банк	3065	Москва и обл.	13336976	5588977	7747999	138.63
220	5	ТЭМБР-Банк	2764	Москва и обл.	12961875	11334950	1626925	14.35
221	-21	Национальная Факторинговая Компания	3437	Москва и обл.	12880948	12899671	-18723	-0.15
222	-8	Гранд Инвест Банк	3053	Москва и обл.	12757727	12150770	606957	5
223	20	Расчетно-Кредитный Банк	103	Москва и обл.	12663502	9844556	2818946	28.63
224	7	Хлынов	254	Кировская обл.	12492730	10817736	1674994	15.48
225	-31	Платежный Центр	3166	Новосибирская обл.	12348755	13738850	-1390095	-10.12
226	11	Интрастбанк	3144	Москва и обл.	12330353	10543411	1786942	16.95
227	55	АйСиБиСи Банк	3475	Москва и обл.	12305954	8036798	4269156	53.12
228	-15	Нацинвестпромбанк	3077	Москва и обл.	12259413	12183643	75770	0.62
229	24	Национальный Банк Развития Бизнеса	2795	Москва и обл.	11979232	9415456	2563776	27.23
230	-7	СтарБанк	548	Москва и обл.	11791196	11547742	243454	2.11
231	21	СИАБ	3245	Санкт-Петербург и обл.	11684742	9468756	2215986	23.4
232	-23	Росдорбанк	1573	Москва и обл.	11641884	12394531	-752647	-6.07
233	-15	Экопромбанк	2011	Пермская обл.	11595770	11855809	-260039	-2.19
234	-14	Солидарность (Москва)	1555	Москва и обл.	11562735	11783588	-220853	-1.87
235	-1	Московское Ипотечное Агентство	3344	Москва и обл.	11428635	10615612	813023	7.66
236	28	РусЮгбанк	2093	Волгоградская обл.	11293129	8721254	2571875	29.49
237	-50	Углеметбанк	2997	Челябинская обл.	11053571	14227232	-3173661	-22.31
238	34	Экспресс	3084	Дагестан	10971392	8537210	2434182	28.51
239	168	Банк Расчетов и Сбережений	2617	Москва и обл.	10865133	4134459	6730674	162.79
240	17	Денизбанк Москва	3330	Москва и обл.	10793521	9163391	1630130	17.79
241	34	МАК-Банк	1088	Москва и обл.	10779540	8505735	2273805	26.73
242	-26	Банк24.ру	2227	Свердловская обл.	10766895	12021557	-1254662	-10.44
243	-10	НК Банк	2755	Москва и обл.	10717592	10743810	-26218	-0.24
244	2	Ури Банк	3479	Москва и обл.	10709195	9703704	1005491	10.36
245	2	Экономбанк	1319	Саратовская обл.	10686400	9699487	986913	10.17
246	-7	Прио-Внешторгбанк	212	Рязанская обл.	10662888	10275486	387402	3.77
247	21	Акцепт	567	Новосибирская обл.	10651011	8594964	2056047	23.92
248	73	Транснациональный Банк	2108	Москва и обл.	10585663	5993327	4592336	76.62
249	-1	Европейский	1616	Калининградская обл.	10585094	9695771	889323	9.17
250	19	Международный Акционерный Банк	1987	Москва и обл.	10398848	8561744	1837104	21.46
251	-11	Бэнк оф Чайна	2309	Москва и обл.	10385965	10114375	271590	2.69
252	133	ОФК Банк	2270	Москва и обл.	10327366	4579421	5747945	125.52
253	-26	Социнвестбанк	1132	Башкортостан	10268526	11032369	-763843	-6.92
254	-68	Аресбанк	2914	Москва и обл.	10260731	14293608	-4032877	-28.21
255	24	БайкалБанк	2632	Бурятия	10134323	8238061	1896262	23.02
256	-2	Гарант-Инвест	2576	Москва и обл.	10115373	9366711	748662	7.99
257	26	НОМОС-Банк-Сибирь	410	Новосибирская обл.	10000951	7956116	2044835	25.7
258	28	Унифин	2654	Москва и обл.	9945750	7859197	2086553	26.55
259	36	Росавтобанк	2767	Москва и обл.	9886931	7230405	2656526	36.74
260	-24	Адмиралтейский	3054	Москва и обл.	9795300	10547067	-751767	-7.13
261	42	Русский Ипотечный Банк	1968	Москва и обл.	9759848	6828405	2931443	42.93
262	-13	Роспромбанк	3204	Москва и обл.	9726659	9557853	168806	1.77
263	153	Банк Город	2644	Москва и обл.	9649573	3960342	5689231	143.66
264	-20	Росэксимбанк	2790	Москва и обл.	9629756	9841059	-211303	-2.15
265	1	Промсбербанк	1043	Москва и обл.	9592766	8678896	913870	10.53
266	4	Екатеринбург	3161	Свердловская обл.	9528831	8557548	971283	11.35
267	14	Международный Банк Развития	2704	Москва и обл.	9455037	8132242	1322795	16.27
268	-3	Нефтяной Альянс	2859	Москва и обл.	9440011	8691884	748127	8.61
269	43	Темпбанк	55	Москва и обл.	9401027	6352311	3048716	47.99
270	-25	Оренбург	3269	Оренбургская обл.	9310292	9742488	-432196	-4.44
271	-21	Рублев	3098	Москва и обл.	9207946	9539388	-331442	-3.47
272	-10	Руснарбанк	3403	Москва и обл.	9150859	8843920	306939	3.47
273	11	Белгородсоцбанк	760	Белгородская обл.	9135345	7920096	1215249	15.34
274	54	Ю Би Эс Банк	3463	Москва и обл.	9109443	5793589	3315854	57.23
275	2	Данске Банк	3307	Санкт-Петербург и обл.	9079022	8327276	751746	9.03
276	14	Метробанк	2548	Москва и обл.	8991087	7613250	1377837	18.1
277	-6	Башинвестбанк	2189	Башкортостан	8967904	8556916	410988	4.8
278	-20	Новосибирский Муниципальный Банк	2786	Новосибирская обл.	8828330	9151150	-322820	-3.53
279	60	Миллениум Банк	3423	Москва и обл.	8827962	5582635	3245327	58.13
280	7	Первый Экспресс	3237	Тульская обл.	8722123	7713954	1008169	13.07
281	7	Кредит-Москва	5	Москва и обл.	8687475	7673528	1013947	13.21
282	48	Монолит	1967	Москва и обл.	8681627	5720788	2960839	51.76
283	2	Башкомснаббанк	1398	Башкортостан	8607359	7889231	718128	9.1
284	91	Генбанк	2490	Москва и обл.	8593665	4704347	3889318	82.67
285	19	Банк БЦК-Москва	3480	Москва и обл.	8554821	6748218	1806603	26.77
286	12	ОПМ-Банк	2734	Москва и обл.	8428005	7174640	1253365	17.47
287	39	Уралкапиталбанк	2519	Башкортостан	8351835	5864488	2487347	42.41
288	-33	Банк Жилищного Финансирования	3138	Москва и обл.	8241066	9285549	-1044483	-11.25
289	42	Банк Торгового Финансирования	1982	Москва и обл.	8190713	5689974	2500739	43.95
290	142	Русский Земельный Банк	2810	Москва и обл.	8149956	3628225	4521731	124.63
291	1	Волго-Камский Банк	282	Самарская обл.	8047887	7577777	470110	6.2
292	135	Транспортный	3174	Москва и обл.	8020312	3755211	4265101	113.58
293	-178	Расчетная Палата РТС	3335	Москва и обл.	7999225	29010697	-21011472	-72.43
294	-35	Евромет	2902	Москва и обл.	7808405	9059015	-1250610	-13.81
295	-1	АФ Банк	991	Башкортостан	7801611	7341418	460193	6.27
296	11	Тусар	2712	Москва и обл.	7798693	6638523	1160170	17.48
297	2	КС Банк	1752	Мордовия	7761414	7153434	607980	8.5
298	97	Клиентский	2324	Москва и обл.	7714635	4367456	3347179	76.64
299	-39	СЭБ Банк	3235	Санкт-Петербург и обл.	7628822	8882216	-1253394	-14.11
300	-62	Русьуниверсалбанк	3293	Москва и обл.	7614473	10451200	-2836727	-27.14
301	18	Волга-Кредит	1153	Самарская обл.	7535043	6044945	1490098	24.65
302	-11	Северо-Восточный Альянс	2768	Москва и обл.	7506203	7589461	-83258	-1.1
303	-3	Нико-Банк	702	Оренбургская обл.	7489469	7074981	414488	5.86
304	-30	Снежинский	1376	Челябинская обл.	7447758	8506485	-1058727	-12.45
305	20	Солид Банк	1329	Камчатская обл.	7433527	5865186	1568341	26.74
306	-1	Хованский	2145	Москва и обл.	7382224	6712973	669251	9.97
307	-14	Кузнецкбизнесбанк	1158	Кемеровская обл.	7359359	7349928	9431	0.13
308	-52	Современный Коммерческий Ипотечный Банк	3329	Москва и обл.	7347023	9166378	-1819355	-19.85
309	13	Бенифит-Банк	3229	Москва и обл.	7337333	5933824	1403509	23.65
310	48	Дил-Банк	3384	Москва и обл.	7313975	5036724	2277251	45.21
311	-2	Автоторгбанк	2776	Москва и обл.	7306551	6549935	756616	11.55
312	6	ПИР Банк	2655	Москва и обл.	7159465	6119574	1039891	16.99
313	-17	Финам Банк	2799	Москва и обл.	7012013	7227954	-215941	-2.99
314	31	Ишбанк	2867	Москва и обл.	6969690	5497317	1472373	26.78
315	68	Финансовый Стандарт	1053	Москва и обл.	6874597	4597667	2276930	49.52
316	46	Ренессанс	1939	Москва и обл.	6872273	4940842	1931431	39.09
317	83	Развитие	2729	Карачаево-Черкесия	6835182	4299576	2535606	58.97
318	9	Экспресс-Кредит	210	Москва и обл.	6807617	5863698	943919	16.1
319	-39	Новый Московский Банк	2932	Москва и обл.	6805653	8172805	-1367152	-16.73
320	-7	Югра	880	Тюменская обл.	6785789	6327047	458742	7.25
321	30	Альба Альянс	2593	Москва и обл.	6775967	5244549	1531418	29.2
322	-137	Замоскворецкий	1640	Москва и обл.	6771040	14512907	-7741867	-53.34
323	59	Промтрансбанк	2638	Башкортостан	6708136	4617739	2090397	45.27
324	-63	Вега-Банк	3270	Москва и обл.	6580120	8850495	-2270375	-25.65
325	-36	Ставропольпромстройбанк	1288	Ставропольский край	6541331	7617808	-1076477	-14.13
326	37	Дагэнергобанк	3286	Дагестан	6530372	4876290	1654082	33.92
327	16	Автоградбанк	1455	Татарстан	6528729	5540804	987925	17.83
328	-31	Банк Инноваций и Развития	2647	Москва и обл.	6515829	7212541	-696712	-9.66
329	-27	Русь	704	Оренбургская обл.	6502736	6901464	-398728	-5.78
330	-19	Томскпромстройбанк	1720	Томская обл.	6481493	6465561	15932	0.25
331	79	Тихоокеанский Внешторгбанк	1378	Сахалинская обл.	6467832	4053300	2414532	59.57
332	-16	Рускобанк	138	Санкт-Петербург и обл.	6465668	6181668	284000	4.59
