Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2012, тыс. рублей	Январь, 2012, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	13611685899	10975636300	2636049599	24.02
2	0	ВТБ	1000	Санкт-Петербург и обл.	4225872030	4209294510	16577520	0.39
3	0	Газпромбанк	354	Москва и обл.	2801570042	2458897495	342672547	13.94
4	0	Россельхозбанк	3349	Москва и обл.	1615112616	1466605876	148506740	10.13
5	0	Банк Москвы	2748	Москва и обл.	1513461083	1333451155	180009928	13.5
6	0	ВТБ 24	1623	Москва и обл.	1460127712	1215652461	244475251	20.11
7	0	Альфа-Банк	1326	Москва и обл.	1232046219	998169890	233876329	23.43
8	0	ЮниКредит Банк	1	Москва и обл.	830703742	894251608	-63547866	-7.11
9	0	Росбанк	2272	Москва и обл.	666371991	644809922	21562069	3.34
10	1	Промсвязьбанк	3251	Москва и обл.	652082203	589098990	62983213	10.69
11	-1	Райффайзенбанк	3292	Москва и обл.	597059444	594216497	2842947	0.48
12	1	ФК Открытие	2209	Москва и обл.	554095615	477551056	76544559	16.03
13	-1	Транскредитбанк	2142	Москва и обл.	506682198	511123981	-4441783	-0.87
14	0	Банк Уралсиб	2275	Москва и обл.	439411936	448379092	-8967156	-2
15	1	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	364769398	342254428	22514970	6.58
16	3	Ситибанк	2557	Москва и обл.	359013594	284028682	74984912	26.4
17	-2	МДМ Банк	323	Новосибирская обл.	356146568	381509924	-25363356	-6.65
18	0	Ак Барс	2590	Татарстан	352164044	302471540	49692504	16.43
19	-2	Россия	328	Санкт-Петербург и обл.	314199470	306180265	8019205	2.62
20	12	Хоум Кредит Банк	316	Москва и обл.	293230412	164641833	128588579	78.1
21	6	Русский Стандарт	2289	Москва и обл.	281552901	193083078	88469823	45.82
22	-1	Московский Кредитный Банк	1978	Москва и обл.	280005476	237615707	42389769	17.84
23	-3	Нордеа Банк	3016	Москва и обл.	275291721	276713343	-1421622	-0.51
24	-1	Ханты-Мансийский банк Открытие	1971	Тюменская обл.	268789901	223246898	45543003	20.4
25	-3	Связь-Банк	1470	Москва и обл.	263269406	227180067	36089339	15.89
26	-1	Петрокоммерц	1776	Москва и обл.	245651574	203881417	41770157	20.49
27	-3	Зенит	3255	Москва и обл.	224445328	217670755	6774573	3.11
28	2	Глобэкс	1942	Москва и обл.	217495066	172604964	44890102	26.01
29	5	Восточный Экспресс Банк	1460	Амурская обл.	217341434	143248587	74092847	51.72
30	-2	ИНГ Банк	2495	Москва и обл.	211981099	189154552	22826547	12.07
31	-5	Возрождение	1439	Москва и обл.	205587584	193406116	12181468	6.3
32	-1	Банк «Открытие»	2179	Москва и обл.	183400946	171936436	11464510	6.67
33	-4	Национальный Банк «Траст»	3279	Москва и обл.	179120185	181765254	-2645069	-1.46
34	-1	МТС Банк	2268	Москва и обл.	174964645	147681560	27283085	18.47
35	1	Национальный Клиринговый Центр	3466	Москва и обл.	174644016	130518058	44125958	33.81
36	-1	Московский Индустриальный Банк	912	Москва и обл.	163465475	138862181	24603294	17.72
37	0	Бинбанк	2562	Москва и обл.	161634223	129856487	31777736	24.47
38	13	Дойче Банк	3328	Москва и обл.	160556039	97682745	62873294	64.36
39	-1	ОТП Банк	2766	Москва и обл.	151571569	126010660	25560909	20.28
40	5	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	140966010	102833833	38132177	37.08
41	1	СМП Банк	3368	Москва и обл.	134264042	106952421	27311621	25.54
42	-2	СКБ-Банк	705	Свердловская обл.	133754670	115536742	18217928	15.77
43	-2	Транскапиталбанк (ТКБ)	2210	Москва и обл.	119445673	108801065	10644608	9.78
44	3	Новикомбанк	2546	Москва и обл.	118584979	102329377	16255602	15.89
45	-1	Национальный Расчетный Депозитарий	3294	Москва и обл.	116624817	106767220	9857597	9.23
46	3	Кредит Европа Банк	3311	Москва и обл.	115696673	101170386	14526287	14.36
47	-4	Русфинанс Банк	1792	Самарская обл.	113389093	106783650	6605443	6.19
48	9	Внешпромбанк	3261	Москва и обл.	110157303	89851736	20305567	22.6
49	-10	Абсолют Банк	2306	Москва и обл.	108006493	120953452	-12946959	-10.7
50	3	Пробизнесбанк	2412	Москва и обл.	107143370	95179572	11963798	12.57
