Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2010, тыс. рублей	Январь, 2010, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	8817865665	7652716628	1165149037	15.23
2	0	ВТБ	1000	Санкт-Петербург и обл.	2781919369	2713933520	67985849	2.51
3	0	Газпромбанк	354	Москва и обл.	1850670517	1746405614	104264903	5.97
4	0	Россельхозбанк	3349	Москва и обл.	1041259773	973893355	67366418	6.92
5	0	Банк Москвы	2748	Москва и обл.	954226404	824459229	129767175	15.74
6	0	ВТБ 24	1623	Москва и обл.	882471244	738023462	144447782	19.57
7	0	Альфа-Банк	1326	Москва и обл.	822352453	659185403	163167050	24.75
8	0	ЮниКредит Банк	1	Москва и обл.	617424887	521475279	95949608	18.4
9	1	Промсвязьбанк	3251	Москва и обл.	503535115	491605030	11930085	2.43
10	-1	Райффайзенбанк	3292	Москва и обл.	498305356	501444409	-3139053	-0.63
11	0	Росбанк	2272	Москва и обл.	428421424	474345698	-45924274	-9.68
12	0	МДМ Банк	323	Новосибирская обл.	419472103	439918786	-20446683	-4.65
13	0	Банк Уралсиб	2275	Москва и обл.	412322199	401680905	10641294	2.65
14	2	Транскредитбанк	2142	Москва и обл.	360766875	251718030	109048845	43.32
15	-1	ФК Открытие	2209	Москва и обл.	336755592	292154773	44600819	15.27
16	1	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	283464978	247383445	36081533	14.59
17	18	Россия	328	Санкт-Петербург и обл.	270921747	113085211	157836536	139.57
18	1	Ситибанк	2557	Москва и обл.	247853904	194199797	53654107	27.63
19	-1	Ак Барс	2590	Татарстан	246046485	230117850	15928635	6.92
20	-5	ВТБ Северо-Запад	439	Санкт-Петербург и обл.	235233881	264123109	-28889228	-10.94
21		Связь-Банк	1470	Москва и обл.	219685786			
22	0	Нордеа Банк	3016	Москва и обл.	195178217	158642079	36536138	23.03
23	-2	Петрокоммерц	1776	Москва и обл.	188425307	171384817	17040490	9.94
24	6	Ханты-Мансийский банк Открытие	1971	Тюменская обл.	176690544	136886539	39804005	29.08
25	-2	Зенит	3255	Москва и обл.	171580208	155850060	15730148	10.09
26	-2	Возрождение	1439	Москва и обл.	163604256	153449817	10154439	6.62
27	4	Национальный Банк «Траст»	3279	Москва и обл.	155563944	135718087	19845857	14.62
28	13	Московский Кредитный Банк	1978	Москва и обл.	145056586	89535792	55520794	62.01
29	-4	Русский Стандарт	2289	Москва и обл.	142958598	153414165	-10455567	-6.82
30	-3	МТС Банк	2268	Москва и обл.	142912693	146201315	-3288622	-2.25
31	11	ИНГ Банк	2495	Москва и обл.	130377884	86135283	44242601	51.36
32	-6	Банк Сосьете Женераль Восток	2295	Москва и обл.	129418714	150301579	-20882865	-13.89
33	-1	КИТ Финанс Инвестиционный Банк	1911	Санкт-Петербург и обл.	125520828	125463438	57390	0.05
34	38	Банк «Открытие»	2179	Москва и обл.	123214487	45901448	77313039	168.43
35	-6	Национальный Клиринговый Центр	3466	Москва и обл.	119033894	141483944	-22450050	-15.87
36	-8	Абсолют Банк	2306	Москва и обл.	117707335	143003903	-25296568	-17.69
37	-3	Хоум Кредит Банк	316	Москва и обл.	116153611	117556406	-1402795	-1.19
38	1	ОТП Банк	2766	Москва и обл.	107291871	95465101	11826770	12.39
39	10	Глобэкс	1942	Москва и обл.	106665955	70790776	35875179	50.68
40	0	Московский Индустриальный Банк	912	Москва и обл.	104182352	90756241	13426111	14.79
41	-5	Росгосстрах Банк	3073	Москва и обл.	99567597	104442887	-4875290	-4.67
42	19	Восточный Экспресс Банк	1460	Амурская обл.	97245420	54415197	42830223	78.71
43	0	Русфинанс Банк	1792	Самарская обл.	94109663	86117296	7992367	9.28
44	0	Бинбанк	2562	Москва и обл.	93442621	78270934	15171687	19.38
45	0	Дойче Банк	3328	Москва и обл.	85200247	76710624	8489623	11.07
46	-8	ЦентроКредит	121	Москва и обл.	84010533	96338380	-12327847	-12.8
47	1	Юниаструм Банк	2771	Москва и обл.	82149842	71363073	10786769	15.12
48	2	Пробизнесбанк	2412	Москва и обл.	80404290	66377264	14027026	21.13
49	2	Банк Интеза	2216	Москва и обл.	79992227	64448250	15543977	24.12
