Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2010, тыс. рублей	Январь, 2010, тыс. рублей	Изменение, тыс. рублей	Изменение, %
50	-3	Кредит Европа Банк	3311	Москва и обл.	74285585	74806006	-520421	-0.7
51	11	Мастер-Банк	2176	Москва и обл.	73314759	54395272	18919487	34.78
52	2	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	73160732	62601589	10559143	16.87
53	3	Транскапиталбанк (ТКБ)	2210	Москва и обл.	73128910	62204838	10924072	17.56
54	1	СКБ-Банк	705	Свердловская обл.	72423497	62274403	10149094	16.3
55	-3	Балтийский Банк	128	Москва и обл.	68992653	64049761	4942892	7.72
56	-3	МСП Банк	3340	Москва и обл.	68924952	63852603	5072349	7.94
57	-11	Союз	2307	Москва и обл.	68717769	75026633	-6308864	-8.41
58	0	РосЕвроБанк	3137	Москва и обл.	67769808	58614031	9155777	15.62
59	6	Собинбанк	1317	Москва и обл.	67591248	52060448	15530800	29.83
60	8	Инвестторгбанк	2763	Москва и обл.	62965298	49423339	13541959	27.4
61	9	Внешпромбанк	3261	Москва и обл.	62714235	46567643	16146592	34.67
62	2	Запсибкомбанк	918	Тюменская обл.	60340803	52155287	8185516	15.69
63	-3	Татфондбанк	3058	Татарстан	59373603	55623443	3750160	6.74
64	12	Новикомбанк	2546	Москва и обл.	58879821	40533155	18346666	45.26
65	4	СМП Банк	3368	Москва и обл.	56954837	49278699	7676138	15.58
66	-7	Национальный Резервный Банк	2170	Москва и обл.	55810781	57021054	-1210273	-2.12
67	0	Авангард	2879	Москва и обл.	55250717	50509841	4740876	9.39
68		Королевский Банк Шотландии	2594	Москва и обл.	54938462			
69	5	Всероссийский Банк Развития Регионов	3287	Москва и обл.	52249913	42516122	9733791	22.89
70	8	Балтинвестбанк	3176	Санкт-Петербург и обл.	51279756	39884144	11395612	28.57
71	18	Коммерцбанк (Евразия)	3333	Москва и обл.	50168999	33387270	16781729	50.26
72	10	Фондсервисбанк	2989	Москва и обл.	49270751	37371385	11899366	31.84
73	14	БНП Париба Банк	3407	Москва и обл.	49188653	33953794	15234859	44.87
74	-1	Центр-инвест	2225	Ростовская обл.	48438720	44271601	4167119	9.41
75	-9	Ренессанс Кредит	3354	Москва и обл.	47847242	50865308	-3018066	-5.93
76	1	Международный Банк Санкт-Петербурга (МБСП)	197	Санкт-Петербург и обл.	47696768	40385595	7311173	18.1
77	6	Меткомбанк (Каменск-Уральский)	2443	Свердловская обл.	47648623	34303981	13344642	38.9
78	-15	Сургутнефтегазбанк	588	Тюменская обл.	47430789	53017735	-5586946	-10.54
79	9	Локо-Банк	2707	Москва и обл.	47246556	33840683	13405873	39.61
80	-23	Сведбанк	3064	Москва и обл.	46239341	59392156	-13152815	-22.15
81	-10	АМТ Банк	2820	Москва и обл.	45725745	45914356	-188611	-0.41
82	-7	Металлинвестбанк	2440	Москва и обл.	45439436	40813338	4626098	11.33
83	-3	Совкомбанк	963	Костромская обл.	44106212	38142738	5963474	15.63
84	0	Инвестбанк	107	Калининградская обл.	42779037	34227917	8551120	24.98
85	1	Пересвет	2110	Москва и обл.	42398770	34098575	8300195	24.34
86	19	Азиатско-Тихоокеанский Банк	1810	Амурская обл.	39341816	22269760	17072056	76.66
87	-6	СБ Банк (Судостроительный банк)	2999	Москва и обл.	38899618	37704094	1195524	3.17
88	8	Национальный Стандарт	3421	Москва и обл.	36848456	26406158	10442298	39.54
89	20	Российский Капитал	2312	Москва и обл.	36519021	20214865	16304156	80.65
90	-5	Первобанк	3461	Самарская обл.	35928225	34194738	1733487	5.07
91	-12	Еврофинанс Моснарбанк	2402	Москва и обл.	35545078	38616772	-3071694	-7.95
92		Банк Сберегательно-кредитного сервиса	3224	Москва и обл.	34797416			
93	-1	Эйч-Эс-Би-Си Банк (HSBC)	3290	Москва и обл.	34303310	29512740	4790570	16.23
94	41	Расчетная Палата РТС	3335	Москва и обл.	31653331	15050663	16602668	110.31
95	-1	Национальный Торговый Банк	3087	Самарская обл.	31400774	27088018	4312756	15.92
96	18	Бинбанк кредитные карты	2827	Москва и обл.	30758478	19988173	10770305	53.88
97	-6	Москоммерцбанк	3365	Москва и обл.	28509446	30425135	-1915689	-6.3
98	-3	Экспобанк	2998	Москва и обл.	28471976	26504487	1967489	7.42
99	1	Дальневосточный Банк	843	Приморский край	28147881	24350735	3797146	15.59
100	-10	Креди Агриколь КИБ	1680	Санкт-Петербург и обл.	28007502	33145003	-5137501	-15.5
101	-4	Челиндбанк	485	Челябинская обл.	27926439	25348960	2577479	10.17
102	-4	Современный Коммерческий Банк (бывш. ДжиИ Мани Банк)	3316	Москва и обл.	27311564	25016380	2295184	9.17
103	8	Таврический	2304	Санкт-Петербург и обл.	26757728	20137408	6620320	32.88
104	-2	Кедр	1574	Москва и обл.	26003458	23520240	2483218	10.56
105	2	Кубань Кредит	2518	Краснодарский край	25842688	21019045	4823643	22.95
106	0	Челябинвестбанк	493	Челябинская обл.	25737175	21991284	3745891	17.03
107	1	Акибанк	2587	Татарстан	25446249	20810234	4636015	22.28
108	49	Международный Финансовый Клуб	2618	Москва и обл.	25336738	12520748	12815990	102.36
109	18	Меткомбанк (Череповец)	901	Вологодская обл.	24169764	16244079	7925685	48.79
110	-11	Саровбизнесбанк	2048	Нижегородская обл.	23941400	24755508	-814108	-3.29
111	-1	Банк СГБ	2816	Вологодская обл.	23935468	20147622	3787846	18.8
112	1	Далькомбанк	84	Хабаровский край	23820552	20031864	3788688	18.91
113	8	Крайинвестбанк	3360	Краснодарский край	23703228	17580897	6122331	34.82
114	-11	Газбанк	2316	Самарская обл.	23652857	22978154	674703	2.94
115	-3	СДМ-Банк	1637	Москва и обл.	23043431	20046149	2997282	14.95
116	-1	НС Банк	3124	Москва и обл.	22761294	19374559	3386735	17.48
117	23	Первый Республиканский Банк	1730	Москва и обл.	22731860	14887999	7843861	52.69
118	14	Нота-Банк	2913	Москва и обл.	22620939	15449006	7171933	46.42
119	-15	Интерпромбанк	3266	Москва и обл.	22501064	22301751	199313	0.89
120	2	Экспресс-Волга	3085	Саратовская обл.	22475877	17379549	5096328	29.32
121	37	Приморье	3001	Приморский край	22090515	12520026	9570489	76.44
122	-5	Русский Международный Банк	3123	Москва и обл.	21715612	19297805	2417807	12.53
123	5	М2М Прайвет Банк	1414	Москва и обл.	20726037	16030686	4695351	29.29
124	76	Тройка-Д Банк	3431	Москва и обл.	20495858	8983446	11512412	128.15
125	-1	Кредит Урал Банк	2584	Челябинская обл.	19950083	16796348	3153735	18.78
126	-6	Банк АВБ	23	Самарская обл.	19870879	17977078	1893801	10.53
127	-9	Липецккомбанк	1242	Липецкая обл.	19506444	18269505	1236939	6.77
128	6	Межтопэнергобанк	2956	Москва и обл.	19483938	15233760	4250178	27.9
129	2	Солидарность (Самара)	554	Самарская обл.	19357190	15574998	3782192	24.28
130	-29	Девон-Кредит	1972	Татарстан	19326191	23691689	-4365498	-18.43
131	101	АМБ Банк	3036	Москва и обл.	18924658	7153280	11771378	164.56
132	24	БФГ-Кредит	3068	Москва и обл.	18881351	12773201	6108150	47.82
133	-14	ГПБ-Ипотека	2403	Москва и обл.	18831603	18080368	751235	4.15
134	10	Фора-Банк	1885	Москва и обл.	18562364	14688467	3873897	26.37
135	-19	Агропромкредит	2880	Москва и обл.	18524799	19346778	-821979	-4.25
136	24	Альта-Банк	2269	Москва и обл.	18323261	12373990	5949271	48.08
137	11	Примсоцбанк	2733	Приморский край	18214295	13908519	4305776	30.96
138	-8	Мой Банк	2939	Москва и обл.	18183855	15644396	2539459	16.23
139	39	Кольцо Урала	65	Свердловская обл.	18018275	10639036	7379239	69.36
140	-17	Уралтрансбанк	812	Свердловская обл.	17891270	16908603	982667	5.81
141	9	Народный Кредит	2401	Москва и обл.	17416795	13684148	3732647	27.28
142	-3	Уральский Финансовый Дом	249	Пермская обл.	17366515	14890272	2476243	16.63
143	19	Московский Областной Банк	1751	Москва и обл.	17212478	12252355	4960123	40.48
144	-8	Банк «МБА-Москва»	3395	Москва и обл.	17163141	15050503	2112638	14.04
145	-16	Натиксис Банк	3390	Москва и обл.	17105312	15668578	1436734	9.17
146	44	Морской Банк	77	Москва и обл.	17029984	9661895	7368089	76.26
147	-14	Соцгорбанк	1827	Москва и обл.	16595308	15414668	1180640	7.66
148	25	Банк Кредит Свисс	2494	Москва и обл.	16571341	10880850	5690491	52.3
149	0	ФИА-Банк	2542	Самарская обл.	16567579	13714444	2853135	20.8
150	57	Интеркоммерц Банк	1657	Москва и обл.	16474095	8534868	7939227	93.02
151	-8	Столичный Торговый Банк	2797	Москва и обл.	15820844	14710743	1110101	7.55
152	15	Банк Проектного Финансирования	1677	Москва и обл.	15727098	11517453	4209645	36.55
153	23	Спурт Банк	2207	Татарстан	15567807	10759789	4808018	44.69
154	-2	Региональный Кредит	1927	Костромская обл.	15392128	13138721	2253407	17.15
155	-29	Первый Чешско-Российский Банк	3291	Москва и обл.	15216974	16442471	-1225497	-7.45
156	-15	Банк РСБ 24 (Русславбанк)	1073	Москва и обл.	14954592	14803603	150989	1.02
157	38	Росэнергобанк	2211	Москва и обл.	14692197	9353507	5338690	57.08
158	-4	НОМОС-Региобанк	539	Хабаровский край	14378743	12879324	1499419	11.64
159	-17	Российский Кредит	324	Москва и обл.	14076654	14770265	-693611	-4.7
160	58	Интерпрогрессбанк	600	Москва и обл.	13989791	7852893	6136898	78.15
161	0	Энергобанк	67	Татарстан	13970574	12358009	1612565	13.05
162	92	Тинькофф Банк	2673	Москва и обл.	13931299	6491303	7439996	114.61
163	-26	Стройкредит	18	Москва и обл.	13897953	14994620	-1096667	-7.31
164	-1	НБД-Банк	1966	Нижегородская обл.	13895691	11711958	2183733	18.65
165	-14	Ланта-Банк	1920	Москва и обл.	13817590	13148417	669173	5.09
166	2	Тимер Банк	1581	Татарстан	13681944	11353212	2328732	20.51
167	38	Смоленский Банк	2029	Смоленская обл.	13675439	8546346	5129093	60.02
168	1	Левобережный	1343	Новосибирская обл.	13591755	11307992	2283763	20.2
169	-44	Сетелем Банк	2168	Москва и обл.	13208439	16450836	-3242397	-19.71
170	24	Инвесткапиталбанк	2377	Башкортостан	13142592	9362864	3779728	40.37
171	-6	Банк БФА	3038	Санкт-Петербург и обл.	13062621	11549395	1513226	13.1
172	-34	Центркомбанк	2983	Москва и обл.	12915414	14954171	-2038757	-13.63
173	-2	Мосстройэкономбанк (М Банк)	948	Москва и обл.	12856026	10983153	1872873	17.05
174	-15	Рост Банк	2888	Татарстан	12476585	12462957	13628	0.11
175	35	Энерготрансбанк	1307	Калининградская обл.	12364317	8496531	3867786	45.52
176	-4	Новокузнецкий Муниципальный Банк	2865	Кемеровская обл.	12352879	10974785	1378094	12.56
177	-3	Европейский Трастовый Банк	2968	Москва и обл.	12334805	10861255	1473550	13.57
178	72	Тойота Банк	3470	Москва и обл.	12233934	6609457	5624477	85.1
179	3	Связной Банк	1961	Москва и обл.	12131466	10359315	1772151	17.11
180	3	Углеметбанк	2997	Челябинская обл.	12026126	10127577	1898549	18.75
181	-15	Курскпромбанк	735	Курская обл.	11945010	11521020	423990	3.68
182	-12	Московское Ипотечное Агентство	3344	Москва и обл.	11926804	11282845	643959	5.71
183	73	АБ Финанс	514	Москва и обл.	11653316	6454848	5198468	80.54
184	-29	Свенска Хандельсбанкен	3455	Москва и обл.	11227609	12815858	-1588249	-12.39
185	18	Интехбанк	2705	Татарстан	11087527	8634224	2453303	28.41
186	11	Держава	2738	Москва и обл.	10995308	9184345	1810963	19.72
187	32	Норвик Банк	902	Кировская обл.	10924997	7839698	3085299	39.35
188	11	Алмазэргиэнбанк	2602	Саха (Якутия)	10860653	9013499	1847154	20.49
189	-1	Форштадт	2208	Оренбургская обл.	10697869	9846643	851226	8.64
190	26	Эллипс Банк	1950	Нижегородская обл.	10592032	8018428	2573604	32.1
191	-4	БыстроБанк	1745	Удмуртия	10577770	9887405	690365	6.98
192	-17	Банк24.ру	2227	Свердловская обл.	10554998	10818164	-263166	-2.43
193	-8	Развитие-Столица	3013	Москва и обл.	10534947	10062660	472287	4.69
194	95	БМВ Банк	3482	Москва и обл.	10521768	5225679	5296089	101.35
195	54	Русстройбанк	3205	Москва и обл.	10399543	6631293	3768250	56.83
196	105	Банк Финсервис	3388	Москва и обл.	10308160	4824259	5483901	113.67
197	-4	Нижегородпромстройбанк	1851	Нижегородская обл.	10073875	9454567	619308	6.55
198	48	Росдорбанк	1573	Москва и обл.	10008166	6661650	3346516	50.24
199	63	Монетный Дом	419	Челябинская обл.	9985651	6130583	3855068	62.88
200	24	Солидарность (Москва)	1555	Москва и обл.	9854917	7452000	2402917	32.25
201	58	Образование	1521	Москва и обл.	9743497	6244290	3499207	56.04
202	-6	Тольяттихимбанк	2507	Самарская обл.	9620831	9316178	304653	3.27
203	19	Александровский	53	Санкт-Петербург и обл.	9610318	7565940	2044378	27.02
204	13	Хлынов	254	Кировская обл.	9599195	7971368	1627827	20.42
205	-21	Гаранти Банк — Москва	3275	Москва и обл.	9594063	10072690	-478627	-4.75
206	35	Легион	3117	Москва и обл.	9462728	6769260	2693468	39.79
207	73	Руснарбанк	3403	Москва и обл.	9410661	5562764	3847897	69.17
208	21	Первомайский	518	Краснодарский край	9325231	7193255	2131976	29.64
209	11	Роспромбанк	3204	Москва и обл.	9312055	7838147	1473908	18.8
210	5	Оренбург	3269	Оренбургская обл.	9286578	8054729	1231849	15.29
211	-3	Петербургский Социальный Коммерческий Банк	2551	Санкт-Петербург и обл.	9276645	8528346	748299	8.77
212	19	Юникорбанк	2586	Москва и обл.	9159336	7163367	1995969	27.86
213	-4	Северо-Восточный Альянс	2768	Москва и обл.	9139057	8507383	631674	7.43
214	-33	Аресбанк	2914	Москва и обл.	9120467	10547887	-1427420	-13.53
215	-36	ЯР-Банк	3185	Москва и обл.	9116831	10594002	-1477171	-13.94
216	-27	ВУЗ-Банк	1557	Свердловская обл.	9076769	9777528	-700759	-7.17
217	-31	ТЭМБР-Банк	2764	Москва и обл.	9068233	9968617	-900384	-9.03
218	-12	НК Банк	2755	Москва и обл.	9064328	8545681	518647	6.07
219	81	АйМаниБанк	1975	Республика Алтай	8998503	4844152	4154351	85.76
220	-43	Банк Жилищного Финансирования	3138	Москва и обл.	8931304	10753452	-1822148	-16.94
221	-20	Снежинский	1376	Челябинская обл.	8818119	8754663	63456	0.72
222	14	Прио-Внешторгбанк	212	Рязанская обл.	8729834	6851179	1878655	27.42
223	-12	Гранд Инвест Банк	3053	Москва и обл.	8667973	8349756	318217	3.81
224	102	Советский	558	Санкт-Петербург и обл.	8625920	4108275	4517645	109.96
225	-23	Нацинвестпромбанк	3077	Москва и обл.	8595848	8645646	-49798	-0.58
226	13	Росэксимбанк	2790	Москва и обл.	8591299	6772318	1818981	26.86
227	94	Бэнк оф Чайна	2309	Москва и обл.	8548355	4198198	4350157	103.62
228	-2	Гута-Банк	256	Москва и обл.	8530243	7346794	1183449	16.11
229	15	МАК-Банк	1088	Москва и обл.	8486219	6727826	1758393	26.14
230	15	Промсбербанк	1043	Москва и обл.	8432942	6721102	1711840	25.47
231	43	ББР Банк	2929	Москва и обл.	8371404	5771051	2600353	45.06
232	-11	Экопромбанк	2011	Пермская обл.	8343786	7804923	538863	6.9
233	33	Интрастбанк	3144	Москва и обл.	8305488	5995830	2309658	38.52
234		Мерседес-Бенц Банк Рус	3473	Москва и обл.	8222878			
235	-55	Алемар	2384	Новосибирская обл.	8140197	10589920	-2449723	-23.13
236	2	Газэнергобанк	3252	Калужская обл.	8057811	6797200	1260611	18.55
237	-14	Экономбанк	1319	Саратовская обл.	7967130	7544431	422699	5.6
238	-8	Международный Акционерный Банк	1987	Москва и обл.	7914251	7190513	723738	10.07
239	37	Гарант-Инвест	2576	Москва и обл.	7905984	5745536	2160448	37.6
240	7	Екатеринбург	3161	Свердловская обл.	7878701	6655684	1223017	18.38
241	14	Тарханы	459	Пензенская обл.	7854871	6486821	1368050	21.09
242	206	Фининвест	671	Москва и обл.	7830283	2486448	5343835	214.92
243	-6	Новосибирский Муниципальный Банк	2786	Новосибирская обл.	7634229	6848185	786044	11.48
244	19	Алеф-Банк	2119	Москва и обл.	7625853	6096296	1529557	25.09
245	8	НОМОС-Банк-Сибирь	410	Новосибирская обл.	7623426	6566844	1056582	16.09
246	-48	Национальная Факторинговая Компания	3437	Москва и обл.	7585742	9076032	-1490290	-16.42
247	-101	Северная Казна	2083	Свердловская обл.	7578880	14238023	-6659143	-46.77
248	-13	Нефтяной Альянс	2859	Москва и обл.	7529797	6972507	557290	7.99
249	57	Замоскворецкий	1640	Москва и обл.	7468911	4636910	2832001	61.08
250	15	Национальный Банк Развития Бизнеса	2795	Москва и обл.	7381057	6049482	1331575	22.01
251	26	Расчетно-Кредитный Банк	103	Москва и обл.	7307751	5715045	1592706	27.87
252	9	Энергомашбанк	52	Санкт-Петербург и обл.	7273554	6172233	1101321	17.84
253		Ю Би Эс Банк	3463	Москва и обл.	7262361			
254	-107	Современный Коммерческий Ипотечный Банк	3329	Калужская обл.	7163603	13932433	-6768830	-48.58
255	-42	Банк Премьер Кредит	1663	Коми	7107305	8245862	-1138557	-13.81
256	30	БКС — Инвестиционный Банк	101	Новосибирская обл.	7047208	5327192	1720016	32.29
257	14	Волго-Камский Банк	282	Самарская обл.	7039015	5926046	1112969	18.78
258	-31	Лада-Кредит	2668	Самарская обл.	7038172	7316199	-278027	-3.8
259	72	МАСТ-Банк	3267	Москва и обл.	6973536	4023700	2949836	73.31
260	15	Европейский	1616	Калининградская обл.	6971021	5764613	1206408	20.93
261	-21	Япы Креди Банк Москва	2555	Москва и обл.	6938620	6772077	166543	2.46
262	-14	Ставропольпромстройбанк	1288	Ставропольский край	6892649	6644390	248259	3.74
263	-29	Социнвестбанк	1132	Башкортостан	6866783	7074893	-208110	-2.94
264	21	Плюс Банк	1189	Омская обл.	6840925	5414241	1426684	26.35
265	-51	Русьуниверсалбанк	3293	Москва и обл.	6818627	8075520	-1256893	-15.56
266	-15	Темпбанк	55	Москва и обл.	6665686	6584004	81682	1.24
267	-15	СтарБанк	548	Тюменская обл.	6586167	6573746	12421	0.19
268	14	Башкомснаббанк	1398	Башкортостан	6580892	5468828	1112064	20.33
269	-41	Финпромбанк (ФПБ Банк)	2157	Москва и обл.	6498659	7238264	-739605	-10.22
270	94	СЭБ Банк	3235	Санкт-Петербург и обл.	6491943	3424804	3067139	89.56
271	21	Кузнецкий Мост	2254	Москва и обл.	6487728	5067861	1419867	28.02
272	71	Русич Центр Банк	2793	Москва и обл.	6426695	3835505	2591190	67.56
273	6	Акцепт	567	Новосибирская обл.	6375438	5617965	757473	13.48
274	16	Огни Москвы	2328	Москва и обл.	6322455	5211082	1111373	21.33
275	-2	Русь	704	Оренбургская обл.	6158535	5833108	325427	5.58
276	7	КС Банк	1752	Мордовия	6151054	5442059	708995	13.03
277	-7	Кредит-Москва	5	Москва и обл.	6150530	5929706	220824	3.72
278	6	Альба Альянс	2593	Москва и обл.	6144515	5432003	712512	13.12
279	14	Кузнецкбизнесбанк	1158	Кемеровская обл.	6105488	5032536	1072952	21.32
280	18	Адмиралтейский	3054	Москва и обл.	6081846	4963297	1118549	22.54
281	46	АФ Банк	991	Башкортостан	6077474	4106741	1970733	47.99
282	60	Метробанк	2548	Москва и обл.	6067423	3844815	2222608	57.81
283	32	БайкалБанк	2632	Бурятия	5999690	4361145	1638545	37.57
284	79	Евромет	2902	Москва и обл.	5969367	3432380	2536987	73.91
285	-27	Бинбанк Мурманск	1276	Мурманская обл.	5968894	6294064	-325170	-5.17
286	-18	Югра	880	Тюменская обл.	5961049	5939586	21463	0.36
287	-18	Новый Московский Банк	2932	Москва и обл.	5903967	5932640	-28673	-0.48
288	62	Рублев	3098	Москва и обл.	5892840	3743724	2149116	57.41
289	29	Пушкино	391	Москва и обл.	5860102	4268822	1591280	37.28
290	59	АктивКапитал Банк	3006	Самарская обл.	5807636	3745121	2062515	55.07
291	-87	Русский Земельный Банк	2810	Москва и обл.	5722009	8597433	-2875424	-33.45
292	32	Ижкомбанк	646	Удмуртия	5697165	4139676	1557489	37.62
293	-36	Банк Раунд	2506	Москва и обл.	5680699	6308666	-627967	-9.95
294	616	Банк ПСА Финанс Рус	3481	Москва и обл.	5669485	261418	5408067	2068.74
295	0	Томскпромстройбанк	1720	Томская обл.	5647952	4986257	661695	13.27
296	-18	Хованский	2145	Москва и обл.	5607948	5668881	-60933	-1.07
297	-10	Славянский Кредит	2960	Москва и обл.	5590918	5309256	281662	5.31
298	-56	Банк Инноваций и Развития	2647	Москва и обл.	5551053	6736951	-1185898	-17.6
299	-5	ПИР Банк	2655	Москва и обл.	5529851	5005825	524026	10.47
300	65	ПВ-Банк	634	Ульяновская обл.	5511241	3408984	2102257	61.67
301	8	Волга-Кредит	1153	Самарская обл.	5428532	4584083	844449	18.42
302	3	Денизбанк Москва	3330	Москва и обл.	5377598	4674901	702697	15.03
303	-7	Белгородсоцбанк	760	Белгородская обл.	5275335	4975143	300192	6.03
304	28	Финам Банк	2799	Москва и обл.	5245756	3990523	1255233	31.46
305	11	РусЮгбанк	2093	Волгоградская обл.	5233453	4300746	932707	21.69
306	19	Региональный Банк Развития	2782	Башкортостан	5202735	4114137	1088598	26.46
307	12	Данске Банк	3307	Санкт-Петербург и обл.	5152148	4228698	923450	21.84
308	3	Объединенный Банк Промышленных Инвестиций	2626	Москва и обл.	5119612	4573441	546171	11.94
309	27	Первый Экспресс	3237	Тульская обл.	5110822	3963315	1147507	28.95
310	-13	Муниципальный Камчатпрофитбанк	2103	Камчатская обл.	5044630	4966748	77882	1.57
311	26	СИАБ	3245	Санкт-Петербург и обл.	5009525	3919518	1090007	27.81
312	16	Ишбанк	2867	Москва и обл.	5006245	4044136	962109	23.79
313	64	ОПМ-Банк	2734	Москва и обл.	4997270	3193882	1803388	56.46
314	3	Бинбанк Тверь	777	Тверская обл.	4995752	4279397	716355	16.74
315	-12	Унифин	2654	Москва и обл.	4967096	4747248	219848	4.63
316	-14	Банк Оранжевый	1659	Санкт-Петербург и обл.	4924593	4776465	148128	3.1
317	-53	Потенциал	1019	Самарская обл.	4905097	6055423	-1150326	-19
318	213	Русский Ипотечный Банк	1968	Москва и обл.	4889877	1677816	3212061	191.44
319	32	Рускобанк	138	Санкт-Петербург и обл.	4883591	3699191	1184400	32.02
320	-12	Уралфинпромбанк	3119	Свердловская обл.	4798803	4586439	212364	4.63
321	37	Северный Народный Банк	2721	Коми	4725226	3583058	1142168	31.88
322	129	Веста	2368	Москва и обл.	4681135	2471424	2209711	89.41
323	-35	Сибирьгазбанк	3042	Тюменская обл.	4678062	5284762	-606700	-11.48
324	-4	Банк Казани	708	Татарстан	4666962	4219571	447391	10.6
325	37	Тусар	2712	Москва и обл.	4616685	3443536	1173149	34.07
326	-93	Платина	2347	Москва и обл.	4598245	7098253	-2500008	-35.22
327	60	Росавтобанк	2767	Москва и обл.	4585332	3125000	1460332	46.73
328	46	Нико-Банк	702	Оренбургская обл.	4445696	3289404	1156292	35.15
329	-30	Сибсоцбанк	2015	Алтайский край	4432337	4910460	-478123	-9.74
330	8	Экспресс	3084	Дагестан	4374849	3918669	456180	11.64
331	-64	Вега-Банк	3270	Москва и обл.	4373804	5990032	-1616228	-26.98
332	1	Банк на Красных Воротах	2472	Москва и обл.	4359965	3988843	371122	9.3
333	78	Автоторгбанк	2776	Москва и обл.	4349600	2895652	1453948	50.21
