Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2014, тыс. рублей	Январь, 2014, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	20451148750	16730027366	3721121384	22.24
2	0	ВТБ	1000	Санкт-Петербург и обл.	7718404263	5277158336	2441245927	46.26
3	0	Газпромбанк	354	Москва и обл.	4527651988	3622276552	905375436	24.99
4	0	ВТБ 24	1623	Москва и обл.	2767994716	2100686266	667308450	31.77
5	1	Банк Москвы	2748	Москва и обл.	2429501449	1828292759	601208690	32.88
6	1	Альфа-Банк	1326	Москва и обл.	2123947035	1562124365	561822670	35.97
7	-2	Россельхозбанк	3349	Москва и обл.	2114023345	1915951035	198072310	10.34
8	0	ФК Открытие	2209	Москва и обл.	1511339105	965044832	546294273	56.61
9	0	ЮниКредит Банк	1	Москва и обл.	1201919285	926606774	275312511	29.71
10	8	Национальный Клиринговый Центр	3466	Москва и обл.	1138395443	386777212	751618231	194.33
11	-1	Промсвязьбанк	3251	Москва и обл.	1004937750	752662475	252275275	33.52
12	0	Райффайзенбанк	3292	Москва и обл.	905911611	712061162	193850449	27.22
13	-2	Росбанк	2272	Москва и обл.	890749519	736292644	154456875	20.98
14	5	Ханты-Мансийский банк Открытие	1971	Москва и обл.	624586166	377588258	246997908	65.41
15	-2	Московский Кредитный Банк	1978	Москва и обл.	557249006	463414118	93834888	20.25
16	-1	Россия	328	Санкт-Петербург и обл.	527636913	418037106	109599807	26.22
17	-3	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	514129079	447067129	67061950	15
18	-2	Русский Стандарт	2289	Москва и обл.	445677000	400349567	45327433	11.32
19	1	Ак Барс	2590	Татарстан	426179814	369547856	56631958	15.32
20	-3	Банк Уралсиб	2275	Москва и обл.	389972137	397439341	-7467204	-1.88
21	0	Ситибанк	2557	Москва и обл.	381893740	368811697	13082043	3.55
22	3	Нордеа Банк	3016	Москва и обл.	381172184	278160968	103011216	37.03
23	0	Связь-Банк	1470	Москва и обл.	377847175	352251341	25595834	7.27
24	0	МДМ Банк	323	Новосибирская обл.	375658797	334130788	41528009	12.43
25	-3	Хоум Кредит Банк	316	Москва и обл.	335340616	366989663	-31649047	-8.62
26	16	СМП Банк	3368	Москва и обл.	334200499	155807405	178393094	114.5
27	6	Бинбанк	2562	Москва и обл.	316826257	212410850	104415407	49.16
28	4	Национальный Банк «Траст»	3279	Москва и обл.	291254821	221942704	69312117	31.23
29	-2	Зенит	3255	Москва и обл.	288552228	258313361	30238867	11.71
30	-4	Глобэкс	1942	Москва и обл.	284828297	265305884	19522413	7.36
31	-1	ИНГ Банк	2495	Москва и обл.	274710153	235368484	39341669	16.71
32	54	Московский Областной Банк	1751	Москва и обл.	270138451	61691879	208446572	337.88
33	-4	Петрокоммерц	1776	Москва и обл.	262562141	249190047	13372094	5.37
34	-6	Восточный Экспресс Банк	1460	Амурская обл.	251010363	252605333	-1594970	-0.63
35	3	Новикомбанк	2546	Москва и обл.	231742817	173077891	58664926	33.9
36	-5	Возрождение	1439	Москва и обл.	231427104	223571868	7855236	3.51
37	16	Абсолют Банк	2306	Москва и обл.	223953193	118471689	105481504	89.04
38	-3	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	220803549	207063585	13739964	6.64
39	1	Внешпромбанк	3261	Москва и обл.	211219791	163139873	48079918	29.47
40	-4	Московский Индустриальный Банк	912	Москва и обл.	207948017	201142624	6805393	3.38
41	-4	МТС Банк	2268	Москва и обл.	196458619	189190779	7267840	3.84
42	4	Совкомбанк	963	Костромская обл.	187623355	130913145	56710210	43.32
43	-4	ОТП Банк	2766	Москва и обл.	185469001	172558034	12910967	7.48
44	12	Российский Капитал	2312	Москва и обл.	173772954	115273070	58499884	50.75
45	-2	Транскапиталбанк (ТКБ)	2210	Москва и обл.	165649405	143726121	21923284	15.25
46	29	Российский Кредит	324	Москва и обл.	162266443	74993896	87272547	116.37
47	-6	Кредит Европа Банк	3311	Москва и обл.	161046273	161086412	-40139	-0.02
48	1	Татфондбанк	3058	Татарстан	157564198	127244422	30319776	23.83
49	-1	РосЕвроБанк	3137	Москва и обл.	148179928	129139704	19040224	14.74
50	4	Ренессанс Кредит	3354	Москва и обл.	135167771	118263004	16904767	14.29
51	18	Национальный Расчетный Депозитарий	3294	Москва и обл.	134814277	85680342	49133935	57.35
52	0	Азиатско-Тихоокеанский Банк	1810	Амурская обл.	134754435	120286448	14467987	12.03
53	4	Тинькофф Банк	2673	Москва и обл.	131125865	113486909	17638956	15.54
54	7	ДельтаКредит	3338	Москва и обл.	130602856	99318001	31284855	31.5
55	-8	МСП Банк	3340	Москва и обл.	129920841	130454519	-533678	-0.41
56	-12	Дойче Банк	3328	Москва и обл.	129344351	142772744	-13428393	-9.41
57	-6	Инвестторгбанк	2763	Москва и обл.	125757851	124645642	1112209	0.89
58	1	Пробизнесбанк	2412	Москва и обл.	124785622	105030954	19754668	18.81
59	-14	СКБ-Банк	705	Свердловская обл.	121228066	132220446	-10992380	-8.31
60	-2	Авангард	2879	Москва и обл.	120348909	109564368	10784541	9.84
61	-11	Росгосстрах Банк	3073	Москва и обл.	119823102	126937731	-7114629	-5.6
62	-7	Русфинанс Банк	1792	Самарская обл.	118461895	117279995	1181900	1.01
63	2	ЦентроКредит	121	Москва и обл.	115228184	91249235	23978949	26.28
64	-4	Пересвет	2110	Москва и обл.	113699652	103225230	10474422	10.15
65	-2	БНП Париба Банк	3407	Москва и обл.	113124212	97600228	15523984	15.91
66	8	Балтийский Банк	128	Москва и обл.	107683049	78000020	29683029	38.06
67	25	Югра	880	Ханты-Мансийский АО — Югра	107662909	55278093	52384816	94.77
68	-6	Запсибкомбанк	918	Тюменская обл.	104254848	97761659	6493189	6.64
69	15	Сетелем Банк	2168	Москва и обл.	101383612	62537247	38846365	62.12
70	-2	Всероссийский Банк Развития Регионов	3287	Москва и обл.	96312160	86824443	9487717	10.93
