Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2008, тыс. рублей	Март, 2008, тыс. рублей	Изменение, тыс. рублей	Изменение, %
948	-2	Майма	1037	Республика Алтай	31116	35304	-4188	-11.86
949	3	K2 Банк	2851	Северная Осетия — Алания	29266	26597	2669	10.03
950	4	Региональный Корпоративный Банк	1134	Ивановская обл.	26380	20218	6162	30.48
951	-1	Внешфинбанк	3173	Дагестан	26117	31269	-5152	-16.48
952	-3	Транзит	2688	Дагестан	23682	32016	-8334	-26.03
953	4	Каспий	639	Дагестан	21281	10428	10853	104.08
955	1	Газтрансбанк	665	Адыгея	12754	11907	847	7.11
956	-1	Континенталь	3184	Дагестан	7305	13169	-5864	-44.53
957	2	Нафтабанк	715	Дагестан	5727	4828	899	18.62
958	-93	Финансово-Расчетный Центр	3319	Нижегородская обл.	4885	213509	-208624	-97.71
959	-1	Расчетная Палата СВМБ	3324	Самарская обл.	4562	6154	-1592	-25.87
960	-41	Международная Уральская Расчетная Палата	3322	Свердловская обл.	1994	109349	-107355	-98.18
