Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2015, тыс. рублей	Январь, 2013, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	22433146804	14082252862	8350893942	59.3
2	0	ВТБ	1000	Санкт-Петербург и обл.	8742464567	4338506970	4403957597	101.51
3	0	Газпромбанк	354	Москва и обл.	4984239100	2814389584	2169849516	77.1
4	2	ВТБ 24	1623	Москва и обл.	2873642255	1511500758	1362141497	90.12
5	6	ФК Открытие	2209	Москва и обл.	2813360795	658177268	2155183527	327.45
6	-2	Россельхозбанк	3349	Москва и обл.	2551779006	1672771138	879007868	52.55
7	0	Альфа-Банк	1326	Москва и обл.	2166341765	1377045587	789296178	57.32
8	-3	Банк Москвы	2748	Москва и обл.	1753618069	1520101934	233516135	15.36
9	23	Национальный Клиринговый Центр	3466	Москва и обл.	1397028289	211699749	1185328540	559.91
10	-2	ЮниКредит Банк	1	Москва и обл.	1320713756	886111726	434602030	49.05
11	-2	Промсвязьбанк	3251	Москва и обл.	1221401758	703512015	517889743	73.61
12	8	Московский Кредитный Банк	1978	Москва и обл.	1113736506	320218464	793518042	247.81
13	-3	Росбанк	2272	Москва и обл.	885949682	694965066	190984616	27.48
14	-2	Райффайзенбанк	3292	Москва и обл.	874085221	636129628	237955593	37.41
15	23	Бинбанк	2562	Москва и обл.	756341388	164032856	592308532	361.09
16	5	Россия	328	Санкт-Петербург и обл.	558480227	320073599	238406628	74.48
17	-2	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	549187807	377459109	171728698	45.5
18	5	Ханты-Мансийский банк Открытие	1971	Москва и обл.	511498142	298476987	213021155	71.37
19	40	Совкомбанк	963	Костромская обл.	491838800	97772413	394066387	403.04
20	-3	Ак Барс	2590	Татарстан	488877251	342762257	146114994	42.63
21	77	Московский Областной Банк	1751	Москва и обл.	464808093	44006519	420801574	956.23
22	0	Русский Стандарт	2289	Москва и обл.	460563326	301700094	158863232	52.66
23	-4	Ситибанк	2557	Москва и обл.	419809025	326162434	93646591	28.71
24	6	ИНГ Банк	2495	Москва и обл.	402937298	221820082	181117216	81.65
25	156	Рост Банк	2888	Москва и обл.	383248497	18296499	364951998	1994.65
26	-2	Связь-Банк	1470	Москва и обл.	369750955	269560402	100190553	37.17
27	-2	Нордеа Банк	3016	Москва и обл.	369124223	265476257	103647966	39.04
28	6	Национальный Банк «Траст»	3279	Москва и обл.	347406759	183375283	164031476	89.45
29	12	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	346364159	147422942	198941217	134.95
30	-14	МДМ Банк	323	Москва и обл.	341635505	369245138	-27609633	-7.48
31	9	СМП Банк	3368	Москва и обл.	339534034	147603845	191930189	130.03
32	240	Югра	880	Ханты-Мансийский АО — Югра	327614178	9692523	317921655	3280.07
33	-7	Глобэкс	1942	Москва и обл.	284040902	236339119	47701783	20.18
34	-5	Зенит	3255	Москва и обл.	276777867	226905452	49872415	21.98
35	41	Всероссийский Банк Развития Регионов	3287	Москва и обл.	276530892	74287442	202243450	272.24
36	7	Новикомбанк	2546	Москва и обл.	275293911	130481520	144812391	110.98
37	9	Внешпромбанк	3261	Москва и обл.	274902436	117442614	157459822	134.07
38	-20	Хоум Кредит Банк	316	Москва и обл.	266352218	331652350	-65300132	-19.69
39	12	Абсолют Банк	2306	Москва и обл.	263012461	110483276	152529185	138.06
40	-13	Восточный Экспресс Банк	1460	Амурская обл.	226081496	233182612	-7101116	-3.05
41	3	Транскапиталбанк (ТКБ)	2210	Москва и обл.	223926661	122646212	101280449	82.58
42	-7	Московский Индустриальный Банк	912	Москва и обл.	219298948	172675164	46623784	0.27
43	-12	Возрождение	1439	Москва и обл.	217271750	221393243	-4121493	-1.86
44	14	Российский Капитал	2312	Москва и обл.	216520126	100318559	116201567	115.83
45	8	Татфондбанк	3058	Татарстан	201896350	108152554	93743796	86.68
46	22	Пересвет	2110	Москва и обл.	173689535	84625399	89064136	105.25
