Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2009, тыс. рублей	Январь, 2009, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	7290640815	6835056621	455584194	6.67
2	0	ВТБ	1000	Санкт-Петербург и обл.	2752316758	2550514678	201802080	7.91
3	0	Газпромбанк	354	Москва и обл.	1712570295	1806030292	-93459997	-5.17
4	0	Россельхозбанк	3349	Москва и обл.	960626905	818290434	142336471	17.39
5	0	Банк Москвы	2748	Москва и обл.	807646712	763363835	44282877	5.8
6	1	ВТБ 24	1623	Москва и обл.	730874487	610995950	119878537	19.62
7	-1	Альфа-Банк	1326	Москва и обл.	630485347	712909051	-82423704	-11.56
8	0	ЮниКредит Банк	1	Москва и обл.	533449156	574504074	-41054918	-7.15
9	0	Райффайзенбанк	3292	Москва и обл.	505955662	564906041	-58950379	-10.44
10	0	Росбанк	2272	Москва и обл.	488781008	501038303	-12257295	-2.45
11	0	Промсвязьбанк	3251	Москва и обл.	446222630	455762371	-9539741	-2.09
12	0	Банк Уралсиб	2275	Москва и обл.	415954858	435717719	-19762861	-4.54
13	6	МДМ Банк	323	Новосибирская обл.	413898751	218719128	195179623	89.24
14	0	ФК Открытие	2209	Москва и обл.	280965255	274056889	6908366	2.52
15	0	Транскредитбанк	2142	Москва и обл.	230966943	237098508	-6131565	-2.59
16	2	Ак Барс	2590	Татарстан	228674593	218782474	9892119	4.52
17	3	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	227956316	216880130	11076186	5.11
18	-2	ВТБ Северо-Запад	439	Санкт-Петербург и обл.	222293200	235477341	-13184141	-5.6
19	7	Ситибанк	2557	Москва и обл.	198751603	172932787	25818816	14.93
20	3	Петрокоммерц	1776	Москва и обл.	183459928	185888027	-2428099	-1.31
21	3	Международный Промышленный Банк	2056	Москва и обл.	179043320	180400359	-1357039	-0.75
22	-1	Банк Сосьете Женераль Восток	2295	Москва и обл.	157757529	214146196	-56388667	-26.33
23	5	Зенит	3255	Москва и обл.	157726844	158432016	-705172	-0.45
