Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2013, тыс. рублей	Январь, 2013, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	15895724834	14082252862	1813471972	12.88
2	0	ВТБ	1000	Санкт-Петербург и обл.	5263350401	4338506970	924843431	21.32
3	0	Газпромбанк	354	Москва и обл.	3511406147	2814389584	697016563	24.77
4	2	ВТБ 24	1623	Москва и обл.	2088711302	1511500758	577210544	38.19
5	0	Банк Москвы	2748	Москва и обл.	1893576791	1520101934	373474857	24.57
6	-2	Россельхозбанк	3349	Москва и обл.	1842414211	1672771138	169643073	10.14
7	0	Альфа-Банк	1326	Москва и обл.	1495597624	1377045587	118552037	8.61
8	0	ЮниКредит Банк	1	Москва и обл.	860744791	886111726	-25366935	-2.86
9	2	ФК Открытие	2209	Москва и обл.	850938971	658177268	192761703	29.29
10	2	Райффайзенбанк	3292	Москва и обл.	763444846	636129628	127315218	20.01
11	-2	Промсвязьбанк	3251	Москва и обл.	759378124	703512015	55866109	7.94
12	-2	Росбанк	2272	Москва и обл.	751134817	694965066	56169751	8.08
13	7	Московский Кредитный Банк	1978	Москва и обл.	440946405	320218464	120727941	37.7
14	1	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	436362147	377459109	58903038	15.61
15	6	Россия	328	Санкт-Петербург и обл.	421906520	320073599	101832921	31.82
16	-2	Банк Уралсиб	2275	Москва и обл.	414634443	452552670	-37918227	-8.38
17	5	Русский Стандарт	2289	Москва и обл.	386607580	301700094	84907486	28.14
18	0	Хоум Кредит Банк	316	Москва и обл.	381853684	331652350	50201334	15.14
19	-2	Ак Барс	2590	Татарстан	371308190	342762257	28545933	8.33
20	-1	Ситибанк	2557	Москва и обл.	349583620	326162434	23421186	7.18
21	11	Национальный Клиринговый Центр	3466	Москва и обл.	345248811	211699749	133549062	63.08
22	1	Ханты-Мансийский банк Открытие	1971	Тюменская обл.	344800254	298476987	46323267	15.52
23	-7	МДМ Банк	323	Новосибирская обл.	342001188	369245138	-27243950	-7.38
24	0	Связь-Банк	1470	Москва и обл.	304080913	269560402	34520511	12.81
25	0	Нордеа Банк	3016	Москва и обл.	291867956	265476257	26391699	9.94
26	4	ИНГ Банк	2495	Москва и обл.	274005455	221820082	52185373	23.53
27	-1	Глобэкс	1942	Москва и обл.	272105815	236339119	35766696	15.13
28	1	Зенит	3255	Москва и обл.	258665942	226905452	31760490	14
29	-2	Восточный Экспресс Банк	1460	Амурская обл.	255217435	233182612	22034823	9.45
30	-2	Петрокоммерц	1776	Москва и обл.	247764433	233056908	14707525	6.31
31	2	Банк «Открытие»	2179	Москва и обл.	227440559	192344693	35095866	18.25
32	-1	Возрождение	1439	Москва и обл.	223094393	221393243	1701150	0.77
33	1	Национальный Банк «Траст»	3279	Москва и обл.	219506244	183375283	36130961	19.7
34	4	Бинбанк	2562	Москва и обл.	213477065	164032856	49444209	30.14
35	2	МТС Банк	2268	Москва и обл.	202892162	168131059	34761103	20.68
36	5	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	202768395	147422942	55345453	37.54
37	-2	Московский Индустриальный Банк	912	Москва и обл.	200242375	172675164	27567211	15.96
38	1	ОТП Банк	2766	Москва и обл.	180248691	158934553	21314138	13.41
39	7	Внешпромбанк	3261	Москва и обл.	162020851	117442614	44578237	37.96
40	3	Новикомбанк	2546	Москва и обл.	157851636	130481520	27370116	20.98
41	-1	СМП Банк	3368	Москва и обл.	156813809	147603845	9209964	6.24
42	3	Кредит Европа Банк	3311	Москва и обл.	154542370	120512039	34030331	28.24
43	-7	Дойче Банк	3328	Москва и обл.	151522043	170515233	-18993190	-11.14
44	0	Транскапиталбанк (ТКБ)	2210	Москва и обл.	145677703	122646212	23031491	18.78
45	-3	СКБ-Банк	705	Свердловская обл.	136666498	135371008	1295490	0.96
46	2	МСП Банк	3340	Москва и обл.	134547367	115891829	18655538	16.1
47	12	Совкомбанк	963	Костромская обл.	129351909	97772413	31579496	32.3
48	4	Авангард	2879	Москва и обл.	124962784	110130208	14832576	13.47
49	4	Татфондбанк	3058	Татарстан	124697095	108152554	16544541	15.3
50	11	Азиатско-Тихоокеанский Банк	1810	Амурская обл.	123263686	91033983	32229703	35.4
51	-4	РосЕвроБанк	3137	Москва и обл.	122322536	116715944	5606592	4.8
52	-2	Инвестторгбанк	2763	Москва и обл.	122153102	111382988	10770114	9.67
53	21	Тинькофф Банк	2673	Москва и обл.	117062219	75414961	41647258	55.22
54	2	Росгосстрах Банк	3073	Москва и обл.	116835525	103668352	13167173	12.7
55	10	Ренессанс Кредит	3354	Москва и обл.	115853186	89492688	26360498	29.46
56	-1	Русфинанс Банк	1792	Самарская обл.	114377714	107935177	6442537	5.97
57	-3	Пробизнесбанк	2412	Москва и обл.	113040541	107984819	5055722	4.68
58	-7	Абсолют Банк	2306	Москва и обл.	111654466	110483276	1171190	1.06
59	-1	Российский Капитал	2312	Москва и обл.	109922459	100318559	9603900	9.57
60	11	ДельтаКредит	3338	Москва и обл.	99403998	80169491	19234507	23.99
61	7	Пересвет	2110	Москва и обл.	98488075	84625399	13862676	16.38
62	2	БНП Париба Банк	3407	Москва и обл.	93579340	89537170	4042170	4.51
63	16	ЦентроКредит	121	Москва и обл.	92985422	72157363	20828059	28.86
64	6	Банк Интеза	2216	Москва и обл.	89728174	81724535	8003639	9.79
65	1	Запсибкомбанк	918	Тюменская обл.	89264530	87519776	1744754	1.99
66	-17	Национальный Расчетный Депозитарий	3294	Москва и обл.	88011420	112653228	-24641808	-21.87
67	9	Всероссийский Банк Развития Регионов	3287	Москва и обл.	87585123	74287442	13297681	17.9
68	4	Союз	2307	Москва и обл.	87099539	79129303	7970236	10.07
69	17	Банк БФА	3038	Санкт-Петербург и обл.	85254966	56183522	29071444	51.74
70	5	Нота-Банк	2913	Москва и обл.	84897943	75380556	9517387	12.63
71	-11	КИТ Финанс Инвестиционный Банк	1911	Санкт-Петербург и обл.	84462618	92900420	-8437802	-9.08
72	-3	Связной Банк	1961	Москва и обл.	81297978	82285015	-987037	-1.2
73	5	Локо-Банк	2707	Москва и обл.	80739693	72555717	8183976	11.28
74	7	Центр-инвест	2225	Ростовская обл.	79230032	64581199	14648833	22.68
75	-12	Юниаструм Банк	2771	Москва и обл.	73572314	90427375	-16855061	-18.64
76	4	Фондсервисбанк	2989	Москва и обл.	72902567	68343355	4559212	6.67
77	-10	Балтийский Банк	128	Москва и обл.	71760640	84821302	-13060662	-15.4
78	35	Российский Кредит	324	Москва и обл.	71008443	33708405	37300038	110.66
79	102	Рост Банк	2888	Москва и обл.	67634930	18296499	49338431	269.66
80	7	СБ Банк (Судостроительный банк)	2999	Москва и обл.	67552308	54949476	12602832	22.94
81	3	Инвестбанк	107	Москва и обл.	67445302	57517684	9927618	17.26
82	16	Московский Областной Банк	1751	Москва и обл.	66419021	44006519	22412502	50.93
83	0	Балтинвестбанк	3176	Санкт-Петербург и обл.	65643657	62468221	3175436	5.08
84	-7	Собинбанк	1317	Москва и обл.	63928525	72611320	-8682795	-11.96
85	9	Сургутнефтегазбанк	588	Тюменская обл.	63538881	50524562	13014319	25.76
