Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2015, тыс. рублей	Январь, 2015, тыс. рублей	Изменение, тыс. рублей	Изменение, %
12	3	Московский Кредитный Банк	1978	Москва и обл.	1113736506	597479579	516256927	86.41
6	2	Россельхозбанк	3349	Москва и обл.	2551779006	2165034716	386744290	17.86
2	0	ВТБ	1000	Санкт-Петербург и обл.	8742464567	8363248420	379216147	4.53
15	5	Бинбанк	2562	Москва и обл.	756341388	413254302	343087086	83.02
19	21	Совкомбанк	963	Костромская обл.	491838800	217343800	274495000	126.3
3	0	Газпромбанк	354	Москва и обл.	4984239100	4722887700	261351400	5.53
25	29	Рост Банк	2888	Москва и обл.	383248497	146418141	236830356	161.75
21	11	Московский Областной Банк	1751	Москва и обл.	464808093	290594433	174213660	59.95
32	18	Югра	880	Ханты-Мансийский АО — Югра	327614178	167762133	159852045	95.28
11	0	Промсвязьбанк	3251	Москва и обл.	1221401758	1088395533	133006225	12.22
1	0	Сбербанк России	1481	Москва и обл.	22433146804	22330238836	102907968	0.46
29	6	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	346364159	247993587	98370572	39.67
35	9	Всероссийский Банк Развития Регионов	3287	Москва и обл.	276530892	193237568	83293324	43.1
24	5	ИНГ Банк	2495	Москва и обл.	402937298	321054315	81882983	25.5
5	0	ФК Открытие	2209	Москва и обл.	2813360795	2735566373	77794422	2.84
59	47	Экспресс-Волга	3085	Саратовская обл.	127934576	52019119	75915457	145.94
46	21	Пересвет	2110	Москва и обл.	173689535	119174140	54515395	45.74
41	5	Транскапиталбанк (ТКБ)	2210	Москва и обл.	223926661	176997963	46928698	26.51
60	23	Сургутнефтегазбанк	588	Ханты-Мансийский АО — Югра	124621375	78825168	45796207	58.1
37	2	Внешпромбанк	3261	Москва и обл.	274902436	230796330	44106106	19.11
16	1	Россия	328	Санкт-Петербург и обл.	558480227	514792432	43687795	8.49
79	31	Таврический	2304	Санкт-Петербург и обл.	79711638	47457028	32254610	67.97
45	3	Татфондбанк	3058	Татарстан	201896350	171335417	30560933	17.84
92	56	Российский Национальный Коммерческий Банк	1354	Симферополь	59657999	29835024	29822975	99.96
39	-1	Абсолют Банк	2306	Москва и обл.	263012461	234462233	28550228	12.18
36	0	Новикомбанк	2546	Москва и обл.	275293911	246751736	28542175	11.57
44	1	Российский Капитал	2312	Москва и обл.	216520126	188601749	27918377	14.8
20	-2	Ак Барс	2590	Татарстан	488877251	462615334	26261917	5.68
114	83	Росэксимбанк	2790	Москва и обл.	43347831	17701621	25646210	144.88
76	13	РосинтерБанк	226	Москва и обл.	88805929	64945479	23860450	36.74
109	61	Газэнергобанк	3252	Калужская обл.	45422607	23119861	22302746	96.47
68	14	Интеркоммерц Банк	1657	Москва и обл.	101183817	78948196	22235621	28.16
81	26	Военно-Промышленный Банк	3065	Москва и обл.	73672261	51844344	21827917	42.1
80	23	Банк Финсервис	3388	Москва и обл.	75121926	53639456	21482470	40.05
51	8	ДельтаКредит	3338	Москва и обл.	154603293	133554724	21048569	15.76
149	156	Инвестиционный Республиканский Банк	2571	Москва и обл.	27502928	7991807	19511121	244.14
107	47	БКС — Инвестиционный Банк	101	Новосибирская обл.	46704165	27360758	19343407	70.7
23	1	Ситибанк	2557	Москва и обл.	419809025	400472851	19336174	4.83
78	13	Бинбанк кредитные карты	2827	Москва и обл.	81251914	63150171	18101743	28.66
96	36	Бэнк оф Чайна	2309	Москва и обл.	55508094	38191401	17316693	45.34
93	28	Образование	1521	Москва и обл.	59496856	42567119	16929737	39.77
83	17	Лето Банк	650	Москва и обл.	72211281	56341040	15870241	28.17
57	8	Росгосстрах Банк	3073	Москва и обл.	139433405	124029541	15403864	12.42
53	4	МСП Банк	3340	Москва и обл.	151174289	135972897	15201392	11.18
70	10	Креди Агриколь КИБ	1680	Санкт-Петербург и обл.	99069353	84070936	14998417	17.84
151	93	Ишбанк	2867	Москва и обл.	27148006	12637468	14510538	114.82
91	23	Аверс	415	Татарстан	61242389	47035918	14206471	30.2
86	18	БФГ-Кредит	3068	Москва и обл.	65593923	53302572	12291351	23.06
89	16	Экспобанк	2998	Москва и обл.	64225502	52685924	11539578	21.9
55	1	Тинькофф Банк	2673	Москва и обл.	147558418	136156886	11401532	8.37
58	4	Авангард	2879	Москва и обл.	138309498	126985538	11323960	8.92
54	1	Азиатско-Тихоокеанский Банк	1810	Амурская обл.	149712338	138656893	11055445	7.97
152	65	Плюс Банк	1189	Москва и обл.	26650277	16001555	10648722	66.55
131	43	Держава	2738	Москва и обл.	32075114	21812585	10262529	47.05
102	29	РН Банк	170	Москва и обл.	48401349	38387567	10013782	26.09
69	9	БНП Париба Банк	3407	Москва и обл.	101157539	91687127	9470412	10.33
73	8	Локо-Банк	2707	Москва и обл.	92227894	83070460	9157434	11.02
148	42	Объединенный Капитал	2611	Санкт-Петербург и обл.	27721751	19190639	8531112	44.45
213	157	Российская Финансовая Корпорация	3099	Москва и обл.	14035227	5534004	8501223	153.62
235	246	Арксбанк	1868	Москва и обл.	11134937	2979978	8154959	273.66
