Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2011, тыс. рублей	Январь, 2011, тыс. рублей	Изменение, тыс. рублей	Изменение, %
861	26	Кредпромбанк	1165	Ярославская обл.	424383	351038	73345	20.89
862	62	Российская Финансовая Корпорация	3099	Москва и обл.	424282	261643	162639	62.16
863	76	Стандарт-Кредит	841	Адыгея	422101	230377	191724	83.22
864	-1	Гефест	1046	Тверская обл.	420079	438949	-18870	-4.3
865	-23	Новый Коммерческий Банк	347	Дагестан	414483	485444	-70961	-14.62
866	-6	Заубер Банк	1614	Карачаево-Черкесия	410874	446965	-36091	-8.07
867	76	Строительно-Коммерческий Банк	3050	Архангельская обл.	408814	217754	191060	87.74
868	32	Холдинвестбанк	2837	Москва и обл.	408455	323765	84690	26.16
869	7	Банк РСИ	3415	Москва и обл.	403945	398722	5223	1.31
870	57	Тальменка-Банк	826	Алтайский край	403371	255547	147824	57.85
871	30	Камский Горизонт	2554	Татарстан	401488	318315	83173	26.13
872	54	Европейский Стандарт	3200	Кабардино-Балкария	398820	259828	138992	53.49
873	88	Капиталбанк	2547	Ростовская обл.	397345	159459	237886	149.18
874	83	K2 Банк	2851	Дагестан	396588	180054	216534	120.26
875	27	Энтузиастбанк	3048	Москва и обл.	394120	317508	76612	24.13
876	43	ЭнергоБизнес	3485	Москва и обл.	393710	276298	117412	42.49
877	41	Азия Банк	3183	Москва и обл.	392820	276834	115986	41.9
878	11	Басманный	2158	Москва и обл.	383260	348979	34281	9.82
879	-45	Трансинвестбанк	3238	Москва и обл.	381125	518349	-137224	-26.47
880	-14	Максимум	466	Ростовская обл.	378018	431717	-53699	-12.44
881	-30	Рингкомбанк	1909	Ингушетия	377430	467039	-89609	-19.19
882	0	РИТЦ Банк	2677	Москва и обл.	370893	368810	2083	0.56
883	20	Еврорасчет	3498	Москва и обл.	359862	312832	47030	15.03
884	-13	Народный Инвестиционный Банк	2876	Самарская обл.	357423	412018	-54595	-13.25
885	35	АвтоКредитБанк	1973	Татарстан	355702	275272	80430	29.22
886	-2	КБЦ	914	Тверская обл.	352003	355342	-3339	-0.94
887	-43	Паритет	1860	Москва и обл.	349949	482299	-132350	-27.44
888	-90	Межбанковский Расчетный Центр	3325	Приморский край	348726	619917	-271191	-43.75
889	19	Кредо Финанс	793	Дагестан	340922	307137	33785	11
890	59	АББ	2937	Москва и обл.	339605	206046	133559	64.82
891	-13	Соверен Банк	3206	Татарстан	338586	390966	-52380	-13.4
892	1	АлтайБизнес-Банк	2388	Алтайский край	335504	333461	2043	0.61
893		Европейский Экспресс	3449	Москва и обл.	327903			
894	5	Логос	3233	Москва и обл.	322528	328341	-5813	-1.77
895	55	Невастройинвест	1926	Санкт-Петербург и обл.	315511	205280	110231	53.7
896	33	МВС Банк	2407	Дагестан	313849	253398	60451	23.86
897	79	Мигом	3323	Москва и обл.	313198	119662	193536	161.74
898	55	ТЭСТ	3440	Москва и обл.	312486	194540	117946	60.63
899	66	Каспий	639	Дагестан	311326	151230	160096	105.86
900	-43	Региональный Корпоративный Банк	1134	Ивановская обл.	301171	455297	-154126	-33.85
901	-20	Лидер	3304	Москва и обл.	299677	380150	-80473	-21.17
902	8	Дорис Банк	1679	Москва и обл.	293510	295858	-2348	-0.79
903	13	Терра	3476	Москва и обл.	289283	279718	9565	3.42
904	26	Континенталь	3184	Дагестан	288228	246566	41662	16.9
905	-22	Народный Банк Республики Тыва	1309	Тыва	284256	364374	-80118	-21.99
906	64	КредитАльянс	3472	Вологодская обл.	284061	135746	148315	109.26
907	53	Инстройбанк	2743	Москва и обл.	283669	163533	120136	73.46
908	39	1Банк	2896	Северная Осетия — Алания	276981	211982	64999	30.66
909	-44	Еврокапитал-Альянс	2672	Дагестан	275899	436317	-160418	-36.77
910	34	Рента-Банк	3095	Москва и обл.	275712	214040	61672	28.81
911	-5	Онлайн Банк	2462	Москва и обл.	273661	309150	-35489	-11.48
912	9	Кошелев-Банк	3300	Нижегородская обл.	273643	272162	1481	0.54
913	45	Городской Расчетный Центр	3346	Курганская обл.	272439	177669	94770	53.34
914	37	Фреско Банк	1415	Ярославская обл.	272072	197297	74775	37.9
915	2	Универсалтраст	3402	Москва и обл.	268307	279402	-11095	-3.97
916	32	Эно	1988	Дагестан	267467	206637	60830	29.44
917	38	ГРиС-Банк	1928	Ставропольский край	263899	188052	75847	40.33
918	-5	Альтернатива	3452	Москва и обл.	263813	284443	-20630	-7.25
919	27	Межрегиональный Банк Реконструкции	2620	Москва и обл.	257344	212854	44490	20.9
920	21	Континент Финанс	149	Калужская обл.	256290	220065	36225	16.46
921	14	ПрестижКредитБанк	2922	Дагестан	234903	235481	-578	-0.25
922	16	Воронеж	654	Воронежская обл.	234728	233677	1051	0.45
923	-95	Тайдон	2085	Кемеровская обл.	233642	539496	-305854	-56.69
924	-19	Таганрогбанк	3136	Ростовская обл.	233265	309216	-75951	-24.56
925	7	Интеррасчет	1618	Карачаево-Черкесия	232281	245040	-12759	-5.21
926	65	Межрегиональный центр микрокредитования	3489	Воронежская обл.	226529	24428	202101	827.33
927	46	Рунэтбанк	2829	Москва и обл.	221909	123249	98660	80.05
929	11	Центральная Расчетная Палата	3313	Москва и обл.	218465	225313	-6848	-3.04
930	12	Банковские Информационные Технологии	3318	Тульская обл.	214072	218759	-4687	-2.14
931	2	Лэнд-Банк	1478	Москва и обл.	213443	244209	-30766	-12.6
932	40	Первый Депозитный Банк	1244	Тверская обл.	211213	125131	86082	68.79
933	-11	Дербент-Кредит	2090	Дагестан	207036	268056	-61020	-22.76
934	34	Бизнесбанк	2862	Дагестан	203166	140094	63072	45.02
